cal_id,date,cancelled,makeup,cal_ref
1001,8/26/2021,0,0,
1002,8/31/2021,0,0,
1003,9/2/2021,0,0,
1004,9/7/2021,0,0,
1005,9/9/2021,0,0,
1006,9/14/2021,0,0,
1007,9/16/2021,0,0,
1008,9/21/2021,0,0,
1009,9/23/2021,0,0,
1010,9/28/2021,0,0,
1011,9/30/2021,0,0,
1012,10/5/2021,0,0,
1013,10/7/2021,0,0,
1014,10/12/2021,0,0,
1015,10/19/2021,0,0,
1016,10/21/2021,0,0,
1017,10/26/2021,0,0,
1018,10/28/2021,0,0,
1019,11/2/2021,0,0,
1020,11/4/2021,0,0,
1021,11/9/2021,0,0,
1022,11/11/2021,0,0,
1023,11/16/2021,0,0,
1024,11/18/2021,0,0,
1025,11/30/2021,0,0,
1026,12/2/2021,0,0,
1027,12/7/2021,0,0,
1028,12/9/2021,0,0,
2001,8/31/2021,0,0,
2002,9/2/2021,0,0,
2003,9/7/2021,0,0,
2004,9/9/2021,0,0,
2005,9/16/2021,0,0,
2006,9/23/2021,0,0,
2007,9/28/2021,0,0,
2008,10/1/2021,0,0,
2009,10/5/2021,0,0,
2010,10/7/2021,0,0,
2011,10/12/2021,0,0,
2012,10/21/2021,0,0,
2013,10/22/2021,0,0,
2014,10/29/2021,0,0,
2015,11/12/2021,0,0,
2016,12/7/2021,0,0,
2017,12/9/2021,0,0,
2018,12/10/2021,0,0,
6001,10/14/2021,0,0,
6002,11/23/2021,0,0,
6003,11/25/2021,0,0,
,,,,
