"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"vary-stochasticity"
"10/21/2025 22:00:51:142 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"8","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","13271.55213233042","6390.611897724426"
"5","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","39772.13862835169","18533.66217857078"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","6","76638.90871908059","38429.14651704801"
"12","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","6","81446.81284380988","30761.12673955938"
"14","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","29993.86729286816","21358.5823454949"
"11","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","32832.14091804857","15397.995473320407"
"9","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","34003.2544380187","18325.165630602718"
"15","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","2","21186.764645696454","14019.83341935564"
"6","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","36430.78976216442","11464.247348308543"
"7","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","37364.40041931111","24344.119490838853"
"1","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","2","23952.834709007308","16351.111749763544"
"13","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","51835.02061587509","32138.711064239036"
"2","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","38352.111357100344","19259.54494612451"
"8","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","2","27276.81549511922","13127.797480638152"
"12","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","7","93142.9485217961","39425.83200895791"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","8","68656.5701385809","37660.30620601523"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","7","81967.86281892512","50431.82853370576"
"5","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","54718.15340820132","22940.544074080957"
"9","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","46726.04953257447","22305.027804281326"
"4","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","35080.469246717796","20008.2449825015"
"14","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","41145.7040660661","28938.380480529675"
"7","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","51282.249015618436","31542.52159602014"
