"BehaviorSpace results (NetLogo 6.2.0)"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/27/2021 23:35:30:308 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8","0.1956521739130435","0.02040816326530612","0","0.84"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8125","0.5833333333333334","0","0","0.2"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.9375","0.24","0.02702702702702703","0","0.77"
"17","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.625","0.6111111111111112","0.0625","0","0.12"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.5454545454545454","0.6111111111111112","0","0","0.08"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.782608695652174","0.38235294117647056","0.07142857142857142","0","0.5333333333333333"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8571428571428571","0.5555555555555556","0.05555555555555555","0","0.08"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6363636363636364","0.5263157894736842","0","0","0.04"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","16","0.6111111111111112","0.12931034482758622","0.030508474576271188","0","0.9125"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.4782608695652174","0.08333333333333333","0","0.42"
"16","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.7333333333333333","0.631578947368421","0","0","0.08"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8","0.17307692307692307","0.023809523809523808","0","0.855"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7058823529411765","0.5925925925925926","0.05","0","0.4"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.9375","0.2","0.02197802197802198","0","0.816"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.7272727272727273","0.7333333333333333","0","0","0.24"
