"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/21/2025 22:01:06:012 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.9090909090909091","0.27586206896551724","0.03571428571428571","0","0.6"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.5714285714285714","0.05","0","0.42"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.5","0","0","0.5"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7391304347826086","0.47619047619047616","0.015151515151515152","0","0.72"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7368421052631579","0.5714285714285714","0.016666666666666666","0","0.64"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7058823529411765","0.45454545454545453","0.0375","0","0.7"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8888888888888888","0.38461538461538464","0.0625","0","0.69"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.9473684210526315","0.2608695652173913","0.014925373134328358","0","0.75"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7222222222222222","0.7058823529411765","0.04878048780487805","0","0.46"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7142857142857143","0.625","0.03389830508474576","0","0.5733333333333334"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.9090909090909091","0.24242424242424243","0.05333333333333334","0","0.68"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7777777777777778","0.5384615384615384","0.0410958904109589","0","0.69"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.9411764705882353","0.2413793103448276","0.1111111111111111","0","0.6133333333333333"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7","0.52","0.02","0","0.6266666666666667"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7391304347826086","0.4","0.012048192771084338","0","0.776"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8823529411764706","0.4444444444444444","0.03278688524590164","0","0.6133333333333333"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8","0.35714285714285715","0","0","0.6533333333333333"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8823529411764706","0.45454545454545453","0.0425531914893617","0","0.64"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7058823529411765","0.43243243243243246","0.0392156862745098","0","0.744"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.9473684210526315","0.23076923076923078","0.023809523809523808","0","0.792"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8888888888888888","0.3225806451612903","0.06060606060606061","0","0.744"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7368421052631579","0.5454545454545454","0.05","0","0.7"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8","0.3","0.08163265306122448","0","0.6133333333333333"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.9090909090909091","0.225","0.053763440860215055","0","0.728"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7894736842105263","0.4666666666666667","0.03260869565217391","0","0.744"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7142857142857143","0.5769230769230769","0.02564102564102564","0","0.68"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.9411764705882353","0.2","0.1","0","0.69"
