"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"vary-probabilities"
"10/21/2025 22:01:21:021 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"56","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","139860.12272991723","118075.27357034791"
"62","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","162184.4795303237","206673.4712479842"
"63","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","156143.00593875142","172527.1007829402"
"57","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","151800.936407024","123572.78141801743"
"61","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","164759.78266888062","138736.43399372124"
"64","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","177425.84066294358","161669.40043360498"
"65","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","160747.31701064913","143555.04615598576"
"67","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","123504.65519997274","118416.47174296278"
"72","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","129401.96052982121","114279.79410077928"
"66","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","140909.27574350088","85179.52322909658"
"68","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","127128.78376870285","106627.46932551869"
"71","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","134085.8829033316","141206.55249686047"
"69","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","159456.2003365345","133703.41560498282"
"74","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","119177.15090536178","91345.64259169143"
"73","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","172797.42111114183","149284.87047020273"
"70","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","114680.67982822031","93677.86515217625"
"76","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","154252.67030562094","119168.76489198164"
"43","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","183992.40331858312","129709.14868238736"
"75","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","146807.64542455116","117134.8335791977"
"77","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","210768.85718357353","178122.45133347224"
"79","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","177501.0936319331","155372.75511048033"
"78","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","122598.84180578796","110997.94047273403"
"84","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","174676.4987923105","182990.89090107605"
"80","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","120428.07501577007","118432.77669665539"
"85","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","175573.27173605375","133008.3604247323"
"81","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","136566.48162171274","151216.3676270598"
"83","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","111283.61315285848","83940.71853534566"
"82","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","104058.27606425552","127006.54341836677"
"87","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","118693.86887130694","126879.34154244444"
"91","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","138239.92564898133","126941.21109928165"
"50","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","146588.61022071872","136296.72863140074"
"93","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","130402.72520674745","114006.60311947713"
"92","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","110722.21922753166","123547.50033461291"
"89","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","136597.70756646863","108203.56180372456"
"86","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","159820.94152998843","158982.77485797106"
"90","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","149446.03964674036","132233.4337003537"
"95","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","179504.49960547854","142116.42566795918"
"96","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","117251.2377436183","129635.55264411504"
"51","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","129334.9504453341","95064.13387524316"
"94","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","172635.04163949707","118673.86251996012"
"97","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","124148.5930845939","100425.11614691532"
"98","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","164657.46546271147","164672.06386842497"
"99","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","158535.38181560405","185201.78202729413"
"100","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","207023.7444627378","192302.5723785556"
"102","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","172147.2822676719","146443.37119981486"
"107","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","136414.1258100523","155948.12236932945"
"103","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","138990.71234098054","121245.42791301291"
"106","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","191222.93590400516","136749.4135634919"
"104","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","121791.83198250044","115419.23385047662"
"110","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","177194.93261866688","173631.50637781768"
"108","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","155004.5222391136","145069.4137969654"
"105","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","108387.20363629675","102017.45134635067"
"111","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","132174.2695123466","117152.12159594719"
"114","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","141129.28774599795","106881.51356964094"
"113","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","148350.43685816877","137454.06245279667"
"112","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","124272.3048088612","87912.73636080438"
"116","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","122273.07211532244","87487.07750848982"
"115","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","142836.64431783196","125110.70275125891"
"117","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","182822.93707377015","154227.16206619344"
"119","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","163027.044850299","137271.77752628538"
"118","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","119916.39944268309","96163.57338506052"
"120","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","210839.38786716652","157650.97181809257"
"88","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","149178.10300535956","155776.3643331627"
"121","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","153624.3656273991","124118.59320311036"
"124","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","140818.29494704903","136300.02010837884"
"122","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","123122.97859596495","136178.2929927886"
"123","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","181567.93122402654","203915.02487895798"
"128","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","161459.88435449023","147924.1293387827"
"129","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","206391.11811559435","134369.48807846344"
"126","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","113885.48833284262","85796.78812744597"
"127","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","107780.00137579642","120216.87265186176"
"125","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","130951.61748750573","116334.79737485138"
"131","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","107052.57751957489","102987.58880865757"
"132","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","142663.4026734042","115086.82624137864"
"101","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","175806.44421927456","152568.33897646444"
"134","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","125815.33280364033","140644.06502241365"
"135","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","158514.5599997037","113739.42421908968"
"138","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","93389.74248701027","83904.78382049172"
"139","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","117461.63951531073","159742.39828490946"
"130","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","138419.67693131714","147424.29282641652"
"141","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","140402.97033246743","126428.00790893225"
"137","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","124634.32883973198","96048.82697158589"
"133","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","133556.2901530485","106415.68537876617"
"136","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","113663.88216215774","111551.89374487447"
"140","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","159949.94641729668","167434.16683853357"
"143","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","145911.72773829423","164884.457830739"
"142","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","131641.58103433746","130641.4267040781"
"144","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","168763.55922904145","103876.64312122848"
"146","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","168816.43951633797","152840.43082326028"
"148","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","104898.36247570872","90142.63218081393"
"109","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","122670.86233875706","157635.46733649552"
"147","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","142705.80991344398","128691.81747561083"
"151","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","108439.48199319026","118560.00345871964"
"150","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","147055.4748958049","135671.11867163348"
"149","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","175676.54541213822","175487.20358721324"
"153","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","186156.541677064","159182.4870685779"
"155","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","111726.18862262082","103746.5532983504"
"154","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","162683.8826947968","147453.22357825708"
"159","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","158372.76839151463","144453.35886406017"
"161","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","150600.5172059073","146510.56002567595"
"157","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","149298.5591352456","107531.92169845654"
"158","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","160905.13332873204","199606.36489555187"
"156","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","162097.00960665752","148210.27369053566"
"162","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","151378.73699201766","166731.01851141735"
