"BehaviorSpace results (NetLogo 5.3.1)"
"wood_hoopoe_strategies.nlogo"
"optimize"
"04/06/2017 00:11:07:861 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","0","0"
"[run number]","x2","x1","p-vacant","strategy","[step]","age-diff","foray-timing","group-dist-1","group-dist-2","group-dist-3","performance"
"86","0.01","0","0.09","""expected reproduction""","264","1","0","1","0","0","1.5"
"87","0.01","0","0.09","""expected reproduction""","264","0","0","1","0","0","0.5"
"88","0.01","0","0.09","""expected reproduction""","264","0","0","1","0","0","0.5"
"71","0.01","0","0.08","""expected reproduction""","264","1","0","1","0","0","1.5"
"92","0.01","0","0.1","""expected reproduction""","264","0","0","1","1","0","0.6"
"94","0.01","0","0.1","""expected reproduction""","264","1","0","1","1","0","1.6"
"89","0.01","0","0.09","""expected reproduction""","264","1","0","1","0","0","1.5"
"85","0.01","0","0.09","""expected reproduction""","264","1","0","1","0","0","1.5"
"80","0.01","0","0.08","""expected reproduction""","264","0","0","1","0","0","0.5"
"93","0.01","0","0.1","""expected reproduction""","264","1","0","1","0","0","1.5"
"90","0.01","0","0.09","""expected reproduction""","264","1","0","1","0","0","1.5"
"91","0.01","0","0.1","""expected reproduction""","264","0","0","1","1","0","0.6"
"97","0.01","0","0.1","""expected reproduction""","264","1","0","1","0","0","1.5"
"82","0.01","0","0.09","""expected reproduction""","264","0","0","1","1","0","0.6"
"95","0.01","0","0.1","""expected reproduction""","264","1","0","1","0","0","1.5"
"79","0.01","0","0.08","""expected reproduction""","264","1","0","1","0","0","1.5"
"99","0.01","0","0.1","""expected reproduction""","264","1","0","1","0","0","1.5"
"101","0.01","0","0.11","""expected reproduction""","264","1","0","1","0","0","1.5"
"103","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"102","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"98","0.01","0","0.1","""expected reproduction""","264","1","0","1","0","0","1.5"
"100","0.01","0","0.1","""expected reproduction""","264","1","0","1","0","0","1.5"
"105","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"106","0.01","0","0.11","""expected reproduction""","264","1","0","1","0","0","1.5"
"96","0.01","0","0.1","""expected reproduction""","264","0","0","1","0","0","0.5"
"107","0.01","0","0.11","""expected reproduction""","264","1","0","1","0","0","1.5"
"111","0.01","0","0.12","""expected reproduction""","264","1","0","1","0","0","1.5"
"113","0.01","0","0.12","""expected reproduction""","264","1","0","1","1","0","1.6"
