"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization_pe"
"10/29/2019 00:44:01:307 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"100","2","1","0.2","0.44","100","60","10","1","0.66","68.74"
"94","2","1","0.2","0.44","100","60","10","1","0.57","73.62"
"90","2","1","0.2","0.44","100","60","10","1","0.56","77.03"
"98","2","1","0.2","0.44","100","60","10","1","0.65","73.47"
"96","2","1","0.2","0.44","100","60","10","1","0.63","73.04"
"99","2","1","0.2","0.44","100","60","10","1","0.58","74.7"
"97","2","1","0.2","0.44","100","60","10","1","0.58","73.88"
"101","4","1","0.2","0.44","100","60","2","1","0.84","46.02"
"105","4","1","0.2","0.44","100","60","2","1","0.83","41.07"
"104","4","1","0.2","0.44","100","60","2","1","0.82","41.52"
"102","4","1","0.2","0.44","100","60","2","1","0.79","48.76"
"108","4","1","0.2","0.44","100","60","2","1","0.84","38.63"
"103","4","1","0.2","0.44","100","60","2","1","0.79","47.78"
"112","4","1","0.2","0.44","100","60","2","1","0.86","41.74"
"107","4","1","0.2","0.44","100","60","2","1","0.84","47.85"
"109","4","1","0.2","0.44","100","60","2","1","0.85","45.41"
"106","4","1","0.2","0.44","100","60","2","1","0.83","47.05"
"111","4","1","0.2","0.44","100","60","2","1","0.83","46.23"
"118","4","1","0.2","0.44","100","60","2","1","0.89","39.18"
"110","4","1","0.2","0.44","100","60","2","1","0.85","50.67"
"113","4","1","0.2","0.44","100","60","2","1","0.85","50.07"
"115","4","1","0.2","0.44","100","60","2","1","0.84","40.95"
"116","4","1","0.2","0.44","100","60","2","1","0.8","46.77"
"114","4","1","0.2","0.44","100","60","2","1","0.81","49.19"
"117","4","1","0.2","0.44","100","60","2","1","0.85","47.8"
"119","4","1","0.2","0.44","100","60","2","1","0.82","48.2"
"120","4","1","0.2","0.44","100","60","2","1","0.77","47.47"
"121","4","1","0.2","0.44","100","60","4","1","0.61","71.5"
"122","4","1","0.2","0.44","100","60","4","1","0.62","71.72"
"123","4","1","0.2","0.44","100","60","4","1","0.64","71.04"
"128","4","1","0.2","0.44","100","60","4","1","0.62","66.52"
"125","4","1","0.2","0.44","100","60","4","1","0.63","68.8"
"131","4","1","0.2","0.44","100","60","4","1","0.69","64.71"
"127","4","1","0.2","0.44","100","60","4","1","0.65","71.09"
"126","4","1","0.2","0.44","100","60","4","1","0.59","68.82"
"124","4","1","0.2","0.44","100","60","4","1","0.54","76.77"
"130","4","1","0.2","0.44","100","60","4","1","0.67","68.71"
"129","4","1","0.2","0.44","100","60","4","1","0.63","71.08"
"136","4","1","0.2","0.44","100","60","4","1","0.62","70.34"
"133","4","1","0.2","0.44","100","60","4","1","0.64","71.75"
"132","4","1","0.2","0.44","100","60","4","1","0.58","73.24"
"137","4","1","0.2","0.44","100","60","4","1","0.64","71"
"134","4","1","0.2","0.44","100","60","4","1","0.6","74.18"
"135","4","1","0.2","0.44","100","60","4","1","0.57","75.84"
"139","4","1","0.2","0.44","100","60","4","1","0.59","73.75"
"138","4","1","0.2","0.44","100","60","4","1","0.56","73.7"
"140","4","1","0.2","0.44","100","60","4","1","0.68","69.45"
"143","4","1","0.2","0.44","100","60","6","1","0.52","76.57"
"141","4","1","0.2","0.44","100","60","6","1","0.56","76.84"
"147","4","1","0.2","0.44","100","60","6","1","0.58","73.78"
"146","4","1","0.2","0.44","100","60","6","1","0.6","75.12"
"142","4","1","0.2","0.44","100","60","6","1","0.56","75.65"
"144","4","1","0.2","0.44","100","60","6","1","0.57","76.96"
"145","4","1","0.2","0.44","100","60","6","1","0.5","79.84"
"152","4","1","0.2","0.44","100","60","6","1","0.57","75.77"
"148","4","1","0.2","0.44","100","60","6","1","0.52","79.52"
"150","4","1","0.2","0.44","100","60","6","1","0.63","76.25"
"155","4","1","0.2","0.44","100","60","6","1","0.64","72.33"
"151","4","1","0.2","0.44","100","60","6","1","0.56","79.25"
"154","4","1","0.2","0.44","100","60","6","1","0.63","75.12"
"149","4","1","0.2","0.44","100","60","6","1","0.46","83.05"
"153","4","1","0.2","0.44","100","60","6","1","0.56","79.01"
"157","4","1","0.2","0.44","100","60","6","1","0.58","75.9"
"156","4","1","0.2","0.44","100","60","6","1","0.53","78.84"
"158","4","1","0.2","0.44","100","60","6","1","0.59","77.77"
"159","4","1","0.2","0.44","100","60","6","1","0.66","73.2"
"160","4","1","0.2","0.44","100","60","6","1","0.59","75.05"
"165","4","1","0.2","0.44","100","60","8","1","0.52","76.31"
"161","4","1","0.2","0.44","100","60","8","1","0.52","80.64"
"164","4","1","0.2","0.44","100","60","8","1","0.55","76.07"
"166","4","1","0.2","0.44","100","60","8","1","0.59","77.02"
"162","4","1","0.2","0.44","100","60","8","1","0.57","78.9"
"163","4","1","0.2","0.44","100","60","8","1","0.47","80.88"
"168","4","1","0.2","0.44","100","60","8","1","0.57","77.41"
"167","4","1","0.2","0.44","100","60","8","1","0.57","76.9"
"170","4","1","0.2","0.44","100","60","8","1","0.57","79.51"
"169","4","1","0.2","0.44","100","60","8","1","0.54","80.66"
"175","4","1","0.2","0.44","100","60","8","1","0.59","74.95"
"174","4","1","0.2","0.44","100","60","8","1","0.58","78.57"
"171","4","1","0.2","0.44","100","60","8","1","0.47","81.31"
"173","4","1","0.2","0.44","100","60","8","1","0.57","79.25"
"177","4","1","0.2","0.44","100","60","8","1","0.64","76.28"
"172","4","1","0.2","0.44","100","60","8","1","0.5","82.76"
"176","4","1","0.2","0.44","100","60","8","1","0.5","77.57"
"179","4","1","0.2","0.44","100","60","8","1","0.57","78.27"
"178","4","1","0.2","0.44","100","60","8","1","0.52","79.91"
"180","4","1","0.2","0.44","100","60","8","1","0.55","80.7"
"182","4","1","0.2","0.44","100","60","10","1","0.55","78.3"
"183","4","1","0.2","0.44","100","60","10","1","0.56","76.59"
"185","4","1","0.2","0.44","100","60","10","1","0.56","76.48"
"184","4","1","0.2","0.44","100","60","10","1","0.58","78.15"
"186","4","1","0.2","0.44","100","60","10","1","0.54","77.9"
"181","4","1","0.2","0.44","100","60","10","1","0.47","82.87"
"187","4","1","0.2","0.44","100","60","10","1","0.63","75.66"
"192","4","1","0.2","0.44","100","60","10","1","0.58","77.57"
"190","4","1","0.2","0.44","100","60","10","1","0.49","81.86"
"189","4","1","0.2","0.44","100","60","10","1","0.53","78.9"
"191","4","1","0.2","0.44","100","60","10","1","0.54","80"
"188","4","1","0.2","0.44","100","60","10","1","0.48","84.27"
"196","4","1","0.2","0.44","100","60","10","1","0.55","79.01"
"193","4","1","0.2","0.44","100","60","10","1","0.49","80.57"
"195","4","1","0.2","0.44","100","60","10","1","0.55","79.17"
"194","4","1","0.2","0.44","100","60","10","1","0.54","80.28"
"199","4","1","0.2","0.44","100","60","10","1","0.6","74.13"
"197","4","1","0.2","0.44","100","60","10","1","0.51","80.82"
"198","4","1","0.2","0.44","100","60","10","1","0.54","80.24"
"201","6","1","0.2","0.44","100","60","2","1","0.77","55.42"
"203","6","1","0.2","0.44","100","60","2","1","0.79","52.71"
"200","4","1","0.2","0.44","100","60","10","1","0.52","76.44"
"205","6","1","0.2","0.44","100","60","2","1","0.8","55.05"
"202","6","1","0.2","0.44","100","60","2","1","0.73","59.52"
"204","6","1","0.2","0.44","100","60","2","1","0.78","56.64"
"207","6","1","0.2","0.44","100","60","2","1","0.76","53.68"
"206","6","1","0.2","0.44","100","60","2","1","0.68","59.78"
"211","6","1","0.2","0.44","100","60","2","1","0.86","47.24"
"208","6","1","0.2","0.44","100","60","2","1","0.76","53.26"
"209","6","1","0.2","0.44","100","60","2","1","0.77","52.91"
"212","6","1","0.2","0.44","100","60","2","1","0.76","54.1"
"215","6","1","0.2","0.44","100","60","2","1","0.77","52.53"
"210","6","1","0.2","0.44","100","60","2","1","0.73","59.76"
"213","6","1","0.2","0.44","100","60","2","1","0.74","57.75"
"214","6","1","0.2","0.44","100","60","2","1","0.77","57.33"
"217","6","1","0.2","0.44","100","60","2","1","0.8","52.48"
"216","6","1","0.2","0.44","100","60","2","1","0.73","55.69"
"218","6","1","0.2","0.44","100","60","2","1","0.8","57.23"
"220","6","1","0.2","0.44","100","60","2","1","0.76","53.15"
"219","6","1","0.2","0.44","100","60","2","1","0.64","65.53"
"222","6","1","0.2","0.44","100","60","4","1","0.64","72.98"
"221","6","1","0.2","0.44","100","60","4","1","0.54","77.92"
"223","6","1","0.2","0.44","100","60","4","1","0.56","80.77"
"225","6","1","0.2","0.44","100","60","4","1","0.51","76.58"
"226","6","1","0.2","0.44","100","60","4","1","0.54","78.36"
"224","6","1","0.2","0.44","100","60","4","1","0.54","74.82"
"227","6","1","0.2","0.44","100","60","4","1","0.53","78.55"
"229","6","1","0.2","0.44","100","60","4","1","0.57","77.8"
"228","6","1","0.2","0.44","100","60","4","1","0.56","80.39"
"230","6","1","0.2","0.44","100","60","4","1","0.57","75.57"
"237","6","1","0.2","0.44","100","60","4","1","0.64","70.43"
"231","6","1","0.2","0.44","100","60","4","1","0.53","75.25"
"234","6","1","0.2","0.44","100","60","4","1","0.57","78.29"
"236","6","1","0.2","0.44","100","60","4","1","0.55","77.02"
"233","6","1","0.2","0.44","100","60","4","1","0.55","77.81"
"232","6","1","0.2","0.44","100","60","4","1","0.51","78.84"
"235","6","1","0.2","0.44","100","60","4","1","0.58","75.82"
"238","6","1","0.2","0.44","100","60","4","1","0.53","76.52"
"239","6","1","0.2","0.44","100","60","4","1","0.58","76.23"
"240","6","1","0.2","0.44","100","60","4","1","0.59","74.76"
"241","6","1","0.2","0.44","100","60","6","1","0.63","73.93"
"243","6","1","0.2","0.44","100","60","6","1","0.59","78.15"
"242","6","1","0.2","0.44","100","60","6","1","0.51","78.59"
"244","6","1","0.2","0.44","100","60","6","1","0.5","80.33"
"246","6","1","0.2","0.44","100","60","6","1","0.52","80.07"
"247","6","1","0.2","0.44","100","60","6","1","0.52","77.64"
"245","6","1","0.2","0.44","100","60","6","1","0.52","85"
"248","6","1","0.2","0.44","100","60","6","1","0.52","80.95"
"250","6","1","0.2","0.44","100","60","6","1","0.51","80.7"
"256","6","1","0.2","0.44","100","60","6","1","0.56","77.82"
"252","6","1","0.2","0.44","100","60","6","1","0.56","78.39"
"249","6","1","0.2","0.44","100","60","6","1","0.48","83.68"
"253","6","1","0.2","0.44","100","60","6","1","0.46","83.83"
"257","6","1","0.2","0.44","100","60","6","1","0.58","78.93"
"251","6","1","0.2","0.44","100","60","6","1","0.51","82.29"
"254","6","1","0.2","0.44","100","60","6","1","0.51","82.66"
"255","6","1","0.2","0.44","100","60","6","1","0.47","79.5"
"259","6","1","0.2","0.44","100","60","6","1","0.5","81.06"
"258","6","1","0.2","0.44","100","60","6","1","0.46","83.01"
"260","6","1","0.2","0.44","100","60","6","1","0.56","77.69"
"261","6","1","0.2","0.44","100","60","8","1","0.66","74.32"
"267","6","1","0.2","0.44","100","60","8","1","0.61","74.57"
"264","6","1","0.2","0.44","100","60","8","1","0.55","78.28"
"263","6","1","0.2","0.44","100","60","8","1","0.51","80.73"
"262","6","1","0.2","0.44","100","60","8","1","0.39","83.92"
"265","6","1","0.2","0.44","100","60","8","1","0.57","76.11"
"266","6","1","0.2","0.44","100","60","8","1","0.55","79.85"
"268","6","1","0.2","0.44","100","60","8","1","0.5","80.77"
"270","6","1","0.2","0.44","100","60","8","1","0.59","76.41"
"272","6","1","0.2","0.44","100","60","8","1","0.47","81.09"
"273","6","1","0.2","0.44","100","60","8","1","0.55","78.42"
"269","6","1","0.2","0.44","100","60","8","1","0.5","81.95"
"271","6","1","0.2","0.44","100","60","8","1","0.5","80.71"
"274","6","1","0.2","0.44","100","60","8","1","0.53","78.54"
"275","6","1","0.2","0.44","100","60","8","1","0.58","75.61"
"276","6","1","0.2","0.44","100","60","8","1","0.52","78.19"
"278","6","1","0.2","0.44","100","60","8","1","0.52","74.78"
"277","6","1","0.2","0.44","100","60","8","1","0.5","81.23"
"279","6","1","0.2","0.44","100","60","8","1","0.59","75.7"
