"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality_pe"
"10/29/2019 01:00:55:953 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"91","10","0","0.2","0.4","100","60","5","1","0.83","57.03"
"88","10","0","0.2","0.4","100","60","5","1","0.79","57.3"
"94","10","0","0.2","0.4","100","60","5","1","0.87","57.78"
"93","10","0","0.2","0.4","100","60","5","1","0.87","57.5"
"100","10","0","0.2","0.4","100","60","5","1","0.82","58.83"
"99","10","0","0.2","0.4","100","60","5","1","0.83","59.84"
"98","10","0","0.2","0.4","100","60","5","1","0.8","60.53"
"110","10","0","0.2","0.45","100","60","5","1","0.9","51.99"
"102","10","0","0.2","0.45","100","60","5","1","0.83","57.57"
"109","10","0","0.2","0.45","100","60","5","1","0.91","50.97"
"108","10","0","0.2","0.45","100","60","5","1","0.86","53.93"
"103","10","0","0.2","0.45","100","60","5","1","0.83","56.69"
"104","10","0","0.2","0.45","100","60","5","1","0.88","55.94"
"106","10","0","0.2","0.45","100","60","5","1","0.83","55.89"
"105","10","0","0.2","0.45","100","60","5","1","0.86","56.36"
"113","10","0","0.2","0.45","100","60","5","1","0.87","54.1"
"107","10","0","0.2","0.45","100","60","5","1","0.8","57.35"
"111","10","0","0.2","0.45","100","60","5","1","0.86","55.49"
"101","10","0","0.2","0.45","100","60","5","1","0.8","60.18"
"117","10","0","0.2","0.45","100","60","5","1","0.92","54.33"
"112","10","0","0.2","0.45","100","60","5","1","0.82","57.32"
"115","10","0","0.2","0.45","100","60","5","1","0.8","57.24"
"116","10","0","0.2","0.45","100","60","5","1","0.78","59.67"
"114","10","0","0.2","0.45","100","60","5","1","0.81","59.88"
"119","10","0","0.2","0.45","100","60","5","1","0.83","55.58"
"118","10","0","0.2","0.45","100","60","5","1","0.86","55.28"
"120","10","0","0.2","0.45","100","60","5","1","0.79","60.49"
"121","10","0","0.2","0.5","100","60","5","1","0.87","53.47"
"122","10","0","0.2","0.5","100","60","5","1","0.91","54.57"
"123","10","0","0.2","0.5","100","60","5","1","0.81","57.01"
"125","10","0","0.2","0.5","100","60","5","1","0.88","55.21"
"126","10","0","0.2","0.5","100","60","5","1","0.82","56.44"
"130","10","0","0.2","0.5","100","60","5","1","0.88","54.91"
"129","10","0","0.2","0.5","100","60","5","1","0.84","56.89"
"124","10","0","0.2","0.5","100","60","5","1","0.77","59.88"
"127","10","0","0.2","0.5","100","60","5","1","0.82","58.37"
"134","10","0","0.2","0.5","100","60","5","1","0.89","56.41"
"128","10","0","0.2","0.5","100","60","5","1","0.81","59.48"
"131","10","0","0.2","0.5","100","60","5","1","0.74","60.81"
"133","10","0","0.2","0.5","100","60","5","1","0.82","60.29"
"138","10","0","0.2","0.5","100","60","5","1","0.84","53.93"
"135","10","0","0.2","0.5","100","60","5","1","0.85","56.87"
"132","10","0","0.2","0.5","100","60","5","1","0.82","59.07"
"137","10","0","0.2","0.5","100","60","5","1","0.84","57.05"
"136","10","0","0.2","0.5","100","60","5","1","0.87","55.76"
"139","10","0","0.2","0.5","100","60","5","1","0.79","62.62"
"140","10","0","0.2","0.5","100","60","5","1","0.87","57.65"
"141","10","0","0.2","0.55","100","60","5","1","0.87","57.11"
"142","10","0","0.2","0.55","100","60","5","1","0.86","55.51"
"143","10","0","0.2","0.55","100","60","5","1","0.84","54.83"
"144","10","0","0.2","0.55","100","60","5","1","0.84","53.07"
