"BehaviorSpace results (NetLogo 6.2.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality"
"11/01/2021 22:21:42:264 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"119","10","0","0.2","0.25","100","60","5","31","31","true"
"111","10","0","0.2","0.25","100","60","5","52","52","true"
"109","10","0","0.2","0.25","100","60","5","48","48","true"
"116","10","0","0.2","0.25","100","60","5","38","38","true"
"110","10","0","0.2","0.25","100","60","5","37","37","true"
"127","10","0","0.2","0.25","100","60","5","26","26","true"
"100","10","0","0.2","0.2","100","60","5","74","74","true"
"80","10","0","0.2","0.2","100","60","5","100","100","false"
"129","10","0","0.2","0.25","100","60","5","20","20","true"
"118","10","0","0.2","0.25","100","60","5","53","53","true"
"135","10","0","0.2","0.25","100","60","5","14","14","true"
"126","10","0","0.2","0.25","100","60","5","50","50","true"
"120","10","0","0.2","0.25","100","60","5","43","43","true"
"123","10","0","0.2","0.25","100","60","5","31","31","true"
"112","10","0","0.2","0.25","100","60","5","100","100","false"
"130","10","0","0.2","0.25","100","60","5","30","30","true"
"113","10","0","0.2","0.25","100","60","5","65","65","true"
"122","10","0","0.2","0.25","100","60","5","58","58","true"
"132","10","0","0.2","0.25","100","60","5","43","43","true"
"124","10","0","0.2","0.25","100","60","5","52","52","true"
"125","10","0","0.2","0.25","100","60","5","55","55","true"
"139","10","0","0.2","0.25","100","60","5","32","32","true"
"138","10","0","0.2","0.25","100","60","5","24","24","true"
"115","10","0","0.2","0.25","100","60","5","77","77","true"
"128","10","0","0.2","0.25","100","60","5","49","49","true"
"134","10","0","0.2","0.25","100","60","5","47","47","true"
"133","10","0","0.2","0.25","100","60","5","57","57","true"
"145","10","0","0.2","0.25","100","60","5","24","24","true"
"147","10","0","0.2","0.25","100","60","5","19","19","true"
"140","10","0","0.2","0.25","100","60","5","22","22","true"
"148","10","0","0.2","0.25","100","60","5","26","26","true"
"151","10","0","0.2","0.25","100","60","5","20","20","true"
"104","10","0","0.2","0.25","100","60","5","100","100","false"
"150","10","0","0.2","0.25","100","60","5","23","23","true"
"152","10","0","0.2","0.25","100","60","5","27","27","true"
"155","10","0","0.2","0.25","100","60","5","18","18","true"
"131","10","0","0.2","0.25","100","60","5","62","62","true"
"156","10","0","0.2","0.25","100","60","5","26","26","true"
"144","10","0","0.2","0.25","100","60","5","39","39","true"
"154","10","0","0.2","0.25","100","60","5","37","37","true"
"137","10","0","0.2","0.25","100","60","5","90","90","true"
