"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary profit"
"09/28/2025 22:18:16:098 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"12","0","0.5","1","neighbors","Optimize","25","50","3","17909.80302103734","8589.611294310818","6327.00922808686","0.04595717892525736"
"7","0","0.5","1","neighbors","Optimize","25","50","2","11848.41547685608","5101.775441701312","6177.755273226478","0.051090669509926086"
"8","0","0.5","1","neighbors","Optimize","25","50","8","51077.84530030814","22406.693310000384","7432.407162511194","0.043420516233831113"
"3","0","0.5","1","neighbors","Optimize","25","50","4","23947.542193522062","11049.086148939565","6663.497612058281","0.045634397637942505"
"10","0","0.5","1","neighbors","Optimize","25","50","3","17595.27588033083","9629.46018345422","6634.77817646372","0.04683988643116515"
"9","0","0.5","1","neighbors","Optimize","25","50","5","25100.325640761537","12028.104784926492","5982.9096776518245","0.044587749100841165"
"15","0","0.5","1","neighbors","Optimize","25","50","4","24204.038616435762","11647.504927304515","6878.322913376395","0.04548756535889238"
"12","0","0.5","1","neighbors","Optimize","25","50","4","24264.03526999895","11034.201154089391","6354.2322489616145","0.045156694774339694"
"14","0","0.5","1","neighbors","Optimize","25","50","3","18116.215239092784","7564.253244504924","6403.13864054113","0.04483422491075663"
"13","0","0.5","1","neighbors","Optimize","25","50","4","26415.90147365533","14684.12876200105","7931.4826073468375","0.050618206855598605"
"8","0","0.5","1","neighbors","Optimize","25","50","9","56064.00200672666","27316.82056660042","7164.162967468469","0.04055489431781093"
"5","0","0.5","1","neighbors","Optimize","25","50","5","30515.374447743296","20582.740165876356","7409.307379686382","0.05120984288233785"
"4","0","0.5","1","neighbors","Optimize","25","50","2","11494.1836943311","6991.771692344062","6659.820765485205","0.04904139225557755"
"6","0","0.5","1","neighbors","Optimize","25","50","2","10568.86628921783","4900.594208637637","6396.252345769025","0.04145498944266155"
"2","0","0.5","1","neighbors","Optimize","25","50","2","14521.507571517608","8045.278670642418","7507.372480858543","0.04533185015159368"
"1","0","0.5","1","neighbors","Optimize","25","50","2","12403.679708221587","5230.884803315052","7150.013816095277","0.03724550439745567"
"11","0","0.5","1","neighbors","Optimize","25","50","2","14446.060335684824","7791.082883256759","7670.557570365839","0.04376501145429413"
"12","0","0.5","1","neighbors","Optimize","25","50","5","30771.95184025662","13427.722104575048","6507.916570257661","0.04486076671832917"
"8","0","0.5","1","neighbors","Optimize","25","50","10","63218.93049676584","29698.564930130142","7154.9284900391895","0.0404283720894412"
"3","0","0.5","1","neighbors","Optimize","25","50","5","30611.03980558034","13026.8426976425","6663.497612058283","0.045634397637942525"
"15","0","0.5","1","neighbors","Optimize","25","50","5","29017.475725275188","14832.876071834304","6834.62383513456","0.043905130296414886"
"7","0","0.5","1","neighbors","Optimize","25","50","3","17264.427094597315","8218.660948492661","6032.819928490274","0.04643890450056318"
"8","0","0.5","1","neighbors","Optimize","25","50","11","66696.08980572969","36891.39910002998","6988.144759250866","0.03848660465992514"
"12","0","0.5","1","neighbors","Optimize","25","50","6","36156.17692596096","17307.29899741311","6325.77127425303","0.04198675536954499"
"10","0","0.5","1","neighbors","Optimize","25","50","4","24077.67031188447","12472.27328690296","6482.394431553635","0.042380909677594454"
"9","0","0.5","1","neighbors","Optimize","25","50","6","30906.20312354697","13076.539096005934","5805.877482785429","0.04233134766787471"
"15","0","0.5","1","neighbors","Optimize","25","50","6","32452.04846066462","19034.264705714908","6859.180265534512","0.0447886655327103"
"3","0","0.5","1","neighbors","Optimize","25","50","6","36125.46344446524","16742.342775979723","6663.497612058281","0.045634397637942525"
"14","0","0.5","1","neighbors","Optimize","25","50","4","23643.41626088116","10649.534303239703","6403.13864054113","0.04483422491075663"
"8","0","0.5","1","neighbors","Optimize","25","50","12","72210.75897791305","40426.48587509323","6672.975588752992","0.03621159622701822"
"12","0","0.5","1","neighbors","Optimize","25","50","7","39843.15156565731","20844.266162398446","6325.7712742530275","0.04198675536954499"
"15","0","0.5","1","neighbors","Optimize","25","50","7","39186.12693760398","20459.231715601883","6734.0784769393495","0.043257807433722165"
"8","0","0.5","1","neighbors","Optimize","25","50","13","73942.15056207405","47219.88535518891","6672.975588752994","0.03621159622701823"
"3","0","0.5","1","neighbors","Optimize","25","50","7","42403.395729085656","18568.609433986836","6277.932284620415","0.04019628363297655"
"11","0","0.5","1","neighbors","Optimize","25","50","3","21132.35701313599","12277.862720960316","7670.55757036584","0.043765011454294116"
"7","0","0.5","1","neighbors","Optimize","25","50","4","21541.67823852337","11836.575517439434","6094.325399891356","0.04666825051682727"
"2","0","0.5","1","neighbors","Optimize","25","50","3","21731.10080935959","12504.690998292848","7507.372480858543","0.04533185015159368"
"8","0","0.5","1","neighbors","Optimize","25","50","14","80126.1349411669","48468.936625411996","6183.984379092874","0.03379957267935346"
"15","0","0.5","1","neighbors","Optimize","25","50","8","45814.43090223337","21386.15627729583","6628.303964629398","0.04207327787951716"
"12","0","0.5","1","neighbors","Optimize","25","50","8","46013.63684721222","22785.79550536968","6170.4852815549075","0.03985809761027439"
"3","0","0.5","1","neighbors","Optimize","25","50","8","48681.328013706065","20512.335182175255","6277.932284620413","0.04019628363297654"
"13","0","0.5","1","neighbors","Optimize","25","50","5","30643.528547544047","19268.307921150026","7931.4826073468375","0.050618206855598605"
"9","0","0.5","1","neighbors","Optimize","25","50","7","36606.84501052096","14379.26961614653","5700.641886973997","0.039473166071017765"
"10","0","0.5","1","neighbors","Optimize","25","50","5","29533.766126569644","16662.319031975123","6376.679614904358","0.03996393448114196"
"5","0","0.5","1","neighbors","Optimize","25","50","6","36083.84451726321","25240.556111695405","7409.307379686383","0.05120984288233786"
"8","0","0.5","1","neighbors","Optimize","25","50","15","78296.09479248496","56309.42617591899","6193.312339356586","0.0338477087368757"
"1","0","0.5","1","neighbors","Optimize","25","50","3","18573.091053773118","9254.071623409956","7327.2431120311385","0.03970472586004218"
"4","0","0.5","1","neighbors","Optimize","25","50","3","16553.95258012224","10860.584462934716","6512.575722271331","0.044337582978462395"
"6","0","0.5","1","neighbors","Optimize","25","50","3","16740.44728737216","6905.877115132905","6614.057617587607","0.04313462196886003"
"14","0","0.5","1","neighbors","Optimize","25","50","5","27241.86741066366","14886.792957440755","6403.138640541131","0.044834224910756636"
"15","0","0.5","1","neighbors","Optimize","25","50","9","48806.84887778426","26869.483531069884","6677.624634264676","0.04199039625337812"
"12","0","0.5","1","neighbors","Optimize","25","50","9","50125.64740923529","26856.95813982217","5949.348498518109","0.037075954603622216"
"8","0","0.5","1","neighbors","Optimize","25","50","16","84615.53424807424","57484.75394813711","6319.439455589254","0.036225031934323734"
"3","0","0.5","1","neighbors","Optimize","25","50","9","54959.26029832647","22543.15764417841","6277.932284620416","0.04019628363297654"
"9","0","0.5","1","neighbors","Optimize","25","50","8","42094.16583111319","15966.032177998923","5487.3208205922265","0.0354420699799277"
"7","0","0.5","1","neighbors","Optimize","25","50","5","25119.877436201823","15244.847149696981","6065.3255132381255","0.04602162892386084"
