"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary risk"
"09/28/2025 22:18:05:532 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"4","0","1","1","neighbors","Optimize","25","50","8","90637.19770486382","41394.014696009865","12212.658599124723","0.04110073131534814"
"14","0","1","1","neighbors","Optimize","25","50","2","24826.45978011596","11149.918454619958","13800.937816677888","0.04518725457659871"
"7","0","1","1","neighbors","Optimize","25","50","5","55586.727674999136","29128.611548645757","12062.832917792359","0.04062869156444326"
"4","0","1","1","neighbors","Optimize","25","50","9","94714.7064886108","53807.56902683416","12389.248812348365","0.04060910570531042"
"12","0","1","1","neighbors","Optimize","25","50","5","54769.92620307699","29404.52081603835","13414.956191318046","0.05261906667559005"
"15","0","1","1","neighbors","Optimize","25","50","2","23936.06810905768","15175.364576312013","15130.721043627404","0.04572934312990485"
"3","0","1","1","neighbors","Optimize","25","50","2","25964.64101420518","7962.280906616562","13638.026409469625","0.04775659339233061"
"4","0","1","1","neighbors","Optimize","25","50","10","105858.18655681539","56879.1963382983","11143.480068204615","0.03382388356709412"
"13","0","1","1","neighbors","Optimize","25","50","2","25685.43101874193","13052.322835395777","13147.208414953375","0.05382528707248234"
"11","0","1","1","neighbors","Optimize","25","50","3","43211.63090878592","17810.490983778112","15363.500130895414","0.05520019944900615"
"10","0","1","1","neighbors","Optimize","25","50","4","38643.93140116867","24840.737243837786","14194.925488962328","0.05782685053564314"
"2","0","1","1","neighbors","Optimize","25","50","2","19902.314666404047","6885.110774763347","10993.205294167861","0.047509637821462586"
"1","0","1","1","neighbors","Optimize","25","50","2","23812.6088869729","13269.552872719545","14002.909134680074","0.049576797065784266"
"5","0","1","1","neighbors","Optimize","25","50","4","53316.66350217662","25889.962709912903","14784.547658200645","0.0545994274792868"
"4","0","1","1","neighbors","Optimize","25","50","11","96668.43660222908","63138.49158540486","11256.014409148569","0.03285300791884543"
"8","0","1","1","neighbors","Optimize","25","50","2","28812.080028058826","12436.564457250304","14748.48184863371","0.043025565352515296"
"4","0","1","1","neighbors","Optimize","25","50","12","107924.45101137766","63950.96616855967","11256.014409148569","0.03285300791884544"
"4","0","1","1","neighbors","Optimize","25","50","13","118761.29843095769","64808.46433129424","10836.847419579994","0.0296683074927258"
"9","0","1","1","neighbors","Optimize","25","50","5","60739.536644962216","29717.322115812938","13285.620142950263","0.035543736343259164"
