"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"Number-of-Links"
"09/28/2025 22:48:19:783 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"9","8","1","1","links","Optimize","13","142729.6602565933","78289.56525661949"
"5","4","1","1","links","Optimize","4","50741.372913042775","28557.754208383976"
"1","0","1","1","links","Optimize","6","70172.40188468086","27209.34607280896"
"11","10","1","1","links","Optimize","11","133562.17367515515","59425.76982826681"
"9","8","1","1","links","Optimize","14","157268.53234164772","78496.45049980065"
"13","1","1","1","links","Optimize","6","92531.49106202583","46400.16446583397"
"12","0","1","1","links","Optimize","7","60410.508842908945","34961.1593107704"
"11","10","1","1","links","Optimize","12","146856.2191896355","61439.51248907709"
"9","8","1","1","links","Optimize","15","171608.12439045712","78561.28183134334"
"11","10","1","1","links","Optimize","13","159855.17637152487","63792.98990753485"
"15","3","1","1","links","Optimize","5","60375.34071827444","36305.97328218457"
"9","8","1","1","links","Optimize","16","167210.90971973512","92557.40790045734"
"11","10","1","1","links","Optimize","14","172178.5209053871","65301.76450934165"
"6","5","1","1","links","Optimize","4","58158.939607446206","20424.658486596458"
"8","7","1","1","links","Optimize","4","49325.17677135402","31885.0847058756"
"2","1","1","1","links","Optimize","6","73680.88497746106","36375.335131103406"
"9","8","1","1","links","Optimize","17","181749.78180478956","92508.63036100214"
"3","2","1","1","links","Optimize","6","72218.63753679063","45892.34888800791"
"11","10","1","1","links","Optimize","15","180423.8629508386","73642.48365793675"
"14","2","1","1","links","Optimize","6","73587.88433825795","44514.41811918337"
"7","6","1","1","links","Optimize","4","58147.818716176414","31940.502742848214"
"12","0","1","1","links","Optimize","8","71002.99445983897","38002.71223618575"
"1","0","1","1","links","Optimize","7","79715.29118758663","36639.46035812072"
"4","3","1","1","links","Optimize","5","61653.89212205776","32025.33683002537"
"9","8","1","1","links","Optimize","18","195488.8084453995","91183.36441681565"
