"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_simple.nlogo"
"experiment"
"10/07/2024 00:31:12:079 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","init-coop-freq","payoff-cost","[step]","(count turtles with [strategy = 1]) / (count turtles)"
"3","1","0.5","0.01","7","0.7273673257023934"
"15","1","0.5","0.01","7","0.5931321540062435"
"5","1","0.5","0.01","8","0.7159209157127991"
"2","1","0.5","0.01","8","0.6982310093652445"
"4","1","0.5","0.01","8","0.7294484911550468"
"9","1","0.5","0.01","8","0.7148803329864725"
"13","1","0.5","0.01","7","0.6243496357960457"
"14","1","0.5","0.01","6","0.6108220603537982"
"7","1","0.5","0.01","5","0.48074921956295524"
"1","1","0.5","0.01","7","0.6670135275754423"
"12","1","0.5","0.01","8","0.704474505723205"
"6","1","0.5","0.01","6","0.6451612903225806"
"3","1","0.5","0.01","8","0.7481789802289281"
"11","1","0.5","0.01","5","0.5327783558792925"
"10","1","0.5","0.01","9","0.7554630593132154"
"15","1","0.5","0.01","8","0.6305931321540063"
"8","1","0.5","0.01","6","0.6285119667013528"
"2","1","0.5","0.01","9","0.7034339229968782"
"5","1","0.5","0.01","9","0.7346514047866806"
"13","1","0.5","0.01","8","0.6514047866805411"
"4","1","0.5","0.01","9","0.7460978147762747"
"1","1","0.5","0.01","8","0.6930280957336108"
"14","1","0.5","0.01","7","0.6534859521331946"
"12","1","0.5","0.01","9","0.7232049947970863"
"7","1","0.5","0.01","6","0.5744016649323621"
"6","1","0.5","0.01","7","0.6711758584807492"
"11","1","0.5","0.01","6","0.5816857440166493"
"9","1","0.5","0.01","9","0.7429760665972945"
"3","1","0.5","0.01","9","0.7554630593132154"
"2","1","0.5","0.01","10","0.7263267429760666"
"10","1","0.5","0.01","10","0.7554630593132154"
"8","1","0.5","0.01","7","0.6971904266389178"
"15","1","0.5","0.01","9","0.6514047866805411"
"4","1","0.5","0.01","10","0.7544224765868887"
"5","1","0.5","0.01","10","0.7398543184183143"
"13","1","0.5","0.01","9","0.6711758584807492"
"1","1","0.5","0.01","9","0.7304890738813735"
"9","1","0.5","0.01","10","0.7502601456815817"
"7","1","0.5","0.01","7","0.6378772112382934"
"12","1","0.5","0.01","10","0.7315296566077003"
"6","1","0.5","0.01","8","0.6971904266389178"
"11","1","0.5","0.01","7","0.6305931321540063"
"2","1","0.5","0.01","11","0.7304890738813735"
"4","1","0.5","0.01","11","0.7502601456815817"
"14","1","0.5","0.01","8","0.6971904266389178"
"10","1","0.5","0.01","11","0.7648283038501561"
"3","1","0.5","0.01","10","0.7554630593132154"
"8","1","0.5","0.01","8","0.7159209157127991"
"5","1","0.5","0.01","11","0.7419354838709677"
"1","1","0.5","0.01","10","0.7554630593132154"
"13","1","0.5","0.01","10","0.6940686784599376"
"2","1","0.5","0.01","12","0.7304890738813735"
"4","1","0.5","0.01","12","0.7617065556711758"
"15","1","0.5","0.01","10","0.6930280957336108"
"12","1","0.5","0.01","11","0.7377731529656608"
"9","1","0.5","0.01","11","0.7544224765868887"
"7","1","0.5","0.01","8","0.6742976066597295"
"14","1","0.5","0.01","9","0.7148803329864725"
"5","1","0.5","0.01","12","0.7440166493236212"
"11","1","0.5","0.01","8","0.6690946930280958"
"10","1","0.5","0.01","12","0.7752341311134235"
"6","1","0.5","0.01","9","0.7211238293444329"
"8","1","0.5","0.01","9","0.7336108220603538"
"2","1","0.5","0.01","13","0.7336108220603538"
"13","1","0.5","0.01","11","0.7096774193548387"
"3","1","0.5","0.01","11","0.7575442247658689"
"1","1","0.5","0.01","11","0.7575442247658689"
"4","1","0.5","0.01","13","0.7606659729448492"
"9","1","0.5","0.01","12","0.7492195629552549"
"12","1","0.5","0.01","12","0.7388137356919875"
"15","1","0.5","0.01","11","0.7023933402705516"
"7","1","0.5","0.01","9","0.7013527575442248"
"14","1","0.5","0.01","10","0.7221644120707597"
"5","1","0.5","0.01","13","0.7481789802289281"
"10","1","0.5","0.01","13","0.7752341311134235"
"2","1","0.5","0.01","14","0.7325702393340271"
"13","1","0.5","0.01","12","0.7180020811654526"
"11","1","0.5","0.01","9","0.6971904266389178"
"6","1","0.5","0.01","10","0.7221644120707597"
"3","1","0.5","0.01","12","0.7585848074921956"
"1","1","0.5","0.01","12","0.7627471383975026"
"4","1","0.5","0.01","14","0.7627471383975026"
"9","1","0.5","0.01","13","0.7513007284079084"
"8","1","0.5","0.01","10","0.7471383975026015"
"10","1","0.5","0.01","14","0.7762747138397502"
"12","1","0.5","0.01","13","0.7398543184183143"
"14","1","0.5","0.01","11","0.7221644120707597"
"3","1","0.5","0.01","13","0.7575442247658689"
"13","1","0.5","0.01","13","0.7221644120707597"
"5","1","0.5","0.01","14","0.7481789802289281"
"15","1","0.5","0.01","12","0.7075962539021852"
"10","1","0.5","0.01","15","0.7762747138397502"
"1","1","0.5","0.01","13","0.7627471383975026"
"7","1","0.5","0.01","10","0.7096774193548387"
"2","1","0.5","0.01","15","0.7346514047866806"
"9","1","0.5","0.01","14","0.7523413111342352"
"4","1","0.5","0.01","15","0.7637877211238293"
"8","1","0.5","0.01","11","0.7419354838709677"
"6","1","0.5","0.01","11","0.7273673257023934"
"11","1","0.5","0.01","10","0.7117585848074922"
"12","1","0.5","0.01","14","0.7377731529656608"
"10","1","0.5","0.01","16","0.7762747138397502"
"4","1","0.5","0.01","16","0.7669094693028096"
"5","1","0.5","0.01","15","0.7481789802289281"
"13","1","0.5","0.01","14","0.7221644120707597"
"2","1","0.5","0.01","16","0.7304890738813735"
"3","1","0.5","0.01","14","0.7575442247658689"
"1","1","0.5","0.01","14","0.7627471383975026"
"14","1","0.5","0.01","12","0.7263267429760666"
"15","1","0.5","0.01","13","0.7096774193548387"
"9","1","0.5","0.01","15","0.7513007284079084"
"8","1","0.5","0.01","12","0.7492195629552549"
"10","1","0.5","0.01","17","0.7762747138397502"
"4","1","0.5","0.01","17","0.7658688865764828"
"6","1","0.5","0.01","12","0.7294484911550468"
"12","1","0.5","0.01","15","0.7377731529656608"
"3","1","0.5","0.01","15","0.7575442247658689"
"11","1","0.5","0.01","11","0.7232049947970863"
