"BehaviorSpace results (NetLogo 5.3.1)"
"wild_dogs.nlogo"
"sensitivity-analysis"
"04/12/2016 02:18:42:452 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","carrying-capacity","years-to-simulate","mortality-adult","mortality-disperser","mean-meeting-rate","[step]","count dogs","extinct?"
"118","40","100","0.15","0.2","1","100","1","false"
"116","40","100","0.15","0.2","1","100","35","false"
"122","40","100","0.15","0.2","1.2","100","6","false"
"124","40","100","0.15","0.2","1.2","100","25","false"
"127","40","100","0.15","0.2","1.2","100","25","false"
"121","40","100","0.15","0.2","1.2","100","23","false"
"123","40","100","0.15","0.2","1.2","100","17","false"
"128","40","100","0.15","0.2","1.2","94","0","true"
"126","40","100","0.15","0.2","1.2","100","42","false"
"129","40","100","0.15","0.2","1.2","79","0","true"
"134","40","100","0.15","0.2","1.2","35","0","true"
"125","40","100","0.15","0.2","1.2","100","26","false"
"131","40","100","0.15","0.2","1.2","95","0","true"
"130","40","100","0.15","0.2","1.2","100","28","false"
"137","40","100","0.15","0.2","1.2","52","0","true"
"138","40","100","0.15","0.2","1.2","100","22","false"
"141","40","100","0.15","0.2","1.2","40","0","true"
"132","40","100","0.15","0.2","1.2","100","22","false"
"136","40","100","0.15","0.2","1.2","100","31","false"
"144","40","100","0.15","0.2","1.2","29","0","true"
"135","40","100","0.15","0.2","1.2","100","31","false"
"140","40","100","0.15","0.2","1.2","100","23","false"
"142","40","100","0.15","0.2","1.2","100","20","false"
"133","40","100","0.15","0.2","1.2","100","30","false"
"147","40","100","0.15","0.2","1.2","47","0","true"
"143","40","100","0.15","0.2","1.2","100","23","false"
"149","40","100","0.15","0.2","1.2","57","0","true"
"146","40","100","0.15","0.2","1.2","76","0","true"
"148","40","100","0.15","0.2","1.2","100","1","false"
"139","40","100","0.15","0.2","1.2","100","17","false"
"145","40","100","0.15","0.2","1.2","100","35","false"
"153","40","100","0.15","0.2","1.4","73","0","true"
"150","40","100","0.15","0.2","1.2","100","23","false"
"156","40","100","0.15","0.2","1.4","80","0","true"
"152","40","100","0.15","0.2","1.4","100","30","false"
"151","40","100","0.15","0.2","1.4","100","3","false"
"155","40","100","0.15","0.2","1.4","100","19","false"
"157","40","100","0.15","0.2","1.4","100","30","false"
"158","40","100","0.15","0.2","1.4","100","26","false"
"159","40","100","0.15","0.2","1.4","75","0","true"
"154","40","100","0.15","0.2","1.4","100","10","false"
"161","40","100","0.15","0.2","1.4","100","35","false"
"164","40","100","0.15","0.2","1.4","64","0","true"
"163","40","100","0.15","0.2","1.4","100","32","false"
"165","40","100","0.15","0.2","1.4","100","32","false"
"160","40","100","0.15","0.2","1.4","100","20","false"
"162","40","100","0.15","0.2","1.4","100","35","false"
"166","40","100","0.15","0.2","1.4","93","0","true"
"168","40","100","0.15","0.2","1.4","49","0","true"
"167","40","100","0.15","0.2","1.4","100","17","false"
"171","40","100","0.15","0.2","1.4","49","0","true"
"173","40","100","0.15","0.2","1.4","59","0","true"
"172","40","100","0.15","0.2","1.4","100","22","false"
"170","40","100","0.15","0.2","1.4","100","35","false"
"175","40","100","0.15","0.2","1.4","70","0","true"
"180","40","100","0.15","0.2","1.4","46","0","true"
"176","40","100","0.15","0.2","1.4","100","16","false"
"169","40","100","0.15","0.2","1.4","100","30","false"
