"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-profit"
"10/07/2021 01:21:15:648 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"49","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","70405.82459978714","4342.960497307438","0.03638001428024829"
"48","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","81040.9077670936","4417.285299076531","0.03289242029680503"
"54","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","83089.1517297297","4469.385615687276","0.03059443898670765"
"35","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","70813.70226255203","4275.798346527224","0.034057010125140195"
"56","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","74583.3813982454","4500.392608039176","0.03389100759799845"
"55","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","73223.40122967161","4331.513274364881","0.033182138040598545"
"53","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","80651.09170675153","4444.404663860448","0.03239712821867538"
"50","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","77056.927793893","4716.745486113175","0.031247135263780937"
"61","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","81693.81093451478","4724.65985408329","0.03313997268852509"
"58","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","81477.93472780002","4387.6381332184565","0.03428890298467905"
"51","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","70470.65925000135","4394.202133231694","0.03364023237497567"
"64","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","83392.46348945174","5033.545241679532","0.03190047022133316"
"67","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","88786.83526589494","4796.249788836839","0.033280791102014894"
"62","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","99071.20525676955","4982.067436040339","0.02988294118182565"
"66","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","77178.07860559833","4524.190721679492","0.030923465747014652"
"68","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","78053.60027629854","4938.431204339798","0.03520298257334871"
"59","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","80213.74156525015","4372.792034961883","0.03217857083230688"
"60","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","75426.35980063099","4295.425161750452","0.03227696776533622"
"47","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","77149.77334186295","4530.926700995236","0.03273501597159068"
"71","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","84915.82648676366","4996.64887276516","0.03290564455755325"
