"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"9","0.1","red","radius","0.01","exp utility","100","0","25","5","22615.32848101098","14257.960493148985"
"2","0.1","red","radius","0.01","exp utility","100","0","25","4","20208.06620360795","11546.68100123858"
"13","0.1","red","radius","0.01","exp utility","100","1","25","5","32277.7316889464","12103.249692074434"
"4","0.1","red","radius","0.01","exp utility","100","0","25","5","23014.77722517272","14791.802539842198"
"6","0.1","red","radius","0.01","exp utility","100","0","25","5","22261.559604285572","13956.707801924596"
"5","0.1","red","radius","0.01","exp utility","100","0","25","6","28684.507768337702","16742.80790537073"
"8","0.1","red","radius","0.01","exp utility","100","0","25","5","22470.074495908186","13882.949081564511"
"12","0.1","red","radius","0.01","exp utility","100","1","25","4","24945.506179243803","10796.896139754695"
"14","0.1","red","radius","0.01","exp utility","100","1","25","3","19271.157204111874","7831.586242722741"
"15","0.1","red","radius","0.01","exp utility","100","1","25","3","18903.83662818301","7156.494902170915"
"1","0.1","red","radius","0.01","exp utility","100","0","25","4","19195.79129664185","11574.246830279422"
"7","0.1","red","radius","0.01","exp utility","100","0","25","5","20766.08958608444","14348.331897159514"
"10","0.1","red","radius","0.01","exp utility","100","0","25","6","29922.208370366003","17227.48901354806"
"6","0.1","red","radius","0.01","exp utility","100","0","25","6","26532.770934817043","16790.723791147062"
"2","0.1","red","radius","0.01","exp utility","100","0","25","5","23724.52213717328","15443.107888758987"
"8","0.1","red","radius","0.01","exp utility","100","0","25","6","26107.939026155578","16289.241335906518"
"3","0.1","red","radius","0.01","exp utility","100","0","25","5","22096.029060998997","13517.844345980875"
"5","0.1","red","radius","0.01","exp utility","100","0","25","7","33318.0598893517","19622.827224086657"
"9","0.1","red","radius","0.01","exp utility","100","0","25","6","26323.22051418515","16765.691972986566"
"4","0.1","red","radius","0.01","exp utility","100","0","25","6","28361.847202821373","17103.37795631934"
"11","0.1","red","radius","0.01","exp utility","100","1","25","4","25317.39022397563","10164.825365579656"
"13","0.1","red","radius","0.01","exp utility","100","1","25","6","37549.55777122662","15923.158762093582"
"1","0.1","red","radius","0.01","exp utility","100","0","25","5","22701.610303485522","14836.367743962539"
"12","0.1","red","radius","0.01","exp utility","100","1","25","5","31829.881389882532","12551.645954531523"
"5","0.1","red","radius","0.01","exp utility","100","0","25","8","36870.33897977213","22766.469186118855"
"14","0.1","red","radius","0.01","exp utility","100","1","25","4","25271.088673658334","10727.400662256938"
"15","0.1","red","radius","0.01","exp utility","100","1","25","4","24575.028723934916","9961.328857802444"
"7","0.1","red","radius","0.01","exp utility","100","0","25","6","24898.702528675505","16738.404242653553"
"5","0.1","red","radius","0.01","exp utility","100","0","25","9","40031.45026032018","25780.69056234736"
"2","0.1","red","radius","0.01","exp utility","100","0","25","6","28476.558681367685","18105.826240532126"
"4","0.1","red","radius","0.01","exp utility","100","0","25","7","31466.71081125168","20659.22924032075"
"6","0.1","red","radius","0.01","exp utility","100","0","25","7","30636.054949261128","19957.578896716455"
"10","0.1","red","radius","0.01","exp utility","100","0","25","7","33294.33921331235","20742.631638124265"
"13","0.1","red","radius","0.01","exp utility","100","1","25","7","42245.312025576655","19682.654807937317"
"5","0.1","red","radius","0.01","exp utility","100","0","25","10","44146.25506144781","28069.020385267097"
"3","0.1","red","radius","0.01","exp utility","100","0","25","6","25630.748464862256","16602.913660204274"
"9","0.1","red","radius","0.01","exp utility","100","0","25","7","29892.76512730481","18952.695541422374"
"8","0.1","red","radius","0.01","exp utility","100","0","25","7","27914.76108145863","18847.92413623534"
"1","0.1","red","radius","0.01","exp utility","100","0","25","6","26536.668545639324","18134.677828741223"
