"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-risk"
"10/07/2021 01:21:26:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"50","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","131778.9827080988","7024.000400157162","0.03877657432500319"
"53","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","120276.52619385628","7142.62904515366","0.039946684109001936"
"51","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","118602.81404971691","7125.444977494293","0.038546217894437206"
"56","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","120838.92789711598","7246.183677740966","0.03826110572473632"
"55","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","123471.11973376633","6901.293853623999","0.03482400511054426"
"59","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","112776.32885399574","7080.811352505935","0.03880712209656631"
"54","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","124295.94802054671","7179.502699510308","0.04145721815739061"
"58","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","134747.9738071677","7256.377255633038","0.03606329172915651"
"57","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","136188.67764734302","7422.646811119013","0.03521334710323949"
"60","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","109733.31038288241","6955.371375881389","0.03963769014323316"
"42","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","129528.81776257863","7283.245280178824","0.03884803050805853"
"67","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","109791.21502292935","6961.479282025652","0.04432536402915381"
"40","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","123082.59065042944","7490.826839950267","0.035899327024306114"
"62","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","114071.70228391465","6934.230742280867","0.04231765267197856"
"61","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","125753.20895333475","7209.316307879012","0.03599909929071265"
"63","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","110202.95480990129","6696.984620522288","0.03985994880007603"
"68","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","107487.47901028927","6900.8149759291555","0.04487514915012355"
"70","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","107362.79790841564","7304.314646905396","0.04151377121038414"
"52","25","neighbors","10","0.01","1.2","exp utility","100","1","0.1","wealth","24","114691.00972045468","7388.023853665067","0.036899902887693965"
"72","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","115306.3063164461","6964.006179030641","0.04030529633575379"
"66","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","118997.93580021552","6936.712397580284","0.042427390820423995"
"65","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","123694.28819672285","6880.854450702107","0.039227962981074754"
"74","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","120125.81514490413","7224.707083128454","0.039346174034135276"
"39","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","116487.29754367091","7493.798681073873","0.0372410902172641"
"64","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","119845.63371533575","7013.080222928597","0.03939483231855875"
"78","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","115337.32342213485","7076.138259988694","0.03969768585192596"
"73","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","122555.93862294029","7453.097654797653","0.03815432190660727"
"75","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","108681.75643896702","7103.313893539985","0.04308807180828513"
"80","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","110584.63011016216","7178.053814812918","0.04029179254373696"
"69","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","106477.40836777068","6741.558143168954","0.03976401652271679"
"76","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","110348.0190971416","6918.891439444435","0.04381402926807516"
"84","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","111553.6705601336","6967.20658126039","0.04106927810005939"
"83","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","129094.15325434197","6808.521726473344","0.03804554194299789"
"71","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","95835.39655706879","6959.836210619826","0.04085449215991181"
"86","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","113269.15300811171","7101.676810817466","0.04366684852965239"
"87","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","97115.18606620144","7608.291260800495","0.05127602392089602"
"82","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","115590.8749969857","7145.430561670176","0.043811645030062164"
"81","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","98875.80027053806","7121.444405797629","0.04906102489372808"
"89","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","114526.15939314644","7134.02636073975","0.04366209428201211"
"92","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","113716.24327538336","7018.730454274329","0.041298513843149795"
"94","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","116378.54169002741","7509.005678648843","0.04311638165100178"
"95","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","108725.91312456186","7593.665656455389","0.04301421719971937"
"97","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","111762.20502166737","7078.371698605307","0.04195235299384507"
"79","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","120682.18726056082","7124.665775992754","0.04289015496831457"
"99","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","102971.98363487491","6821.308763784688","0.042561754034369924"
"96","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","113242.8149419909","7224.678268644856","0.04354206513063101"
"77","25","neighbors","10","0.01","1.3","exp utility","100","1","0.1","wealth","24","111966.24897617562","7015.874839340789","0.041334899630405646"
"88","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","116566.45281968979","7420.521999955361","0.043275399268710775"
"101","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","96731.48627801228","6975.503361267016","0.04721724630139122"
"105","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","102779.702020133","6537.180072482908","0.045484621788165515"
"102","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","104070.34223474219","7132.219974927044","0.04793862757666079"
"93","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","108909.22004449186","7140.0450058566175","0.04719773273500447"
"100","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","114171.60477431663","6682.10026310881","0.04193692508115144"
"85","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","120739.98730102394","7200.321461797319","0.03852804051540426"
"90","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","113896.46592561562","7512.672853711513","0.040855763974199676"
"98","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","108370.70212443257","7583.502535426828","0.046639650651558576"
"104","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","98198.79350140649","6933.082142066389","0.047330521021667835"
"108","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","97934.55757402981","6409.858097759348","0.04476098361689223"
"103","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","106843.31103177069","7408.294279734995","0.04651506544248145"
"106","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","97875.53835789878","6795.339596229189","0.04829743496671412"
