"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"83","0.1","red","radius","0.01","exp utility","10","2","25","24","179610.84409236145"
"84","0.1","red","radius","0.01","exp utility","10","2","25","24","141032.67811773423"
"77","0.1","red","radius","0.01","exp utility","10","2","25","24","180551.68452802443"
"81","0.1","red","radius","0.01","exp utility","10","2","25","24","184449.6016018426"
"76","0.1","red","radius","0.01","exp utility","10","2","25","24","127580.38651454402"
"88","0.1","red","radius","0.01","exp utility","10","2","25","24","177598.80689634368"
"85","0.1","red","radius","0.01","exp utility","10","2","25","24","113981.11246704058"
"90","0.1","red","radius","0.01","exp utility","10","2","25","24","125712.77396160834"
"91","0.1","red","radius","0.01","exp utility","10","3","25","24","158470.630888829"
"89","0.1","red","radius","0.01","exp utility","10","2","25","24","132075.10661294023"
"86","0.1","red","radius","0.01","exp utility","10","2","25","24","136529.04940652027"
"87","0.1","red","radius","0.01","exp utility","10","2","25","24","171046.7636067889"
"92","0.1","red","radius","0.01","exp utility","10","3","25","24","197137.37949705333"
"103","0.1","red","radius","0.01","exp utility","10","3","25","24","153630.97685264627"
"100","0.1","red","radius","0.01","exp utility","10","3","25","24","184221.0994539999"
"98","0.1","red","radius","0.01","exp utility","10","3","25","24","192789.16981821923"
"104","0.1","red","radius","0.01","exp utility","10","3","25","24","196790.4129488604"
"102","0.1","red","radius","0.01","exp utility","10","3","25","24","189868.14356603852"
"94","0.1","red","radius","0.01","exp utility","10","3","25","24","146105.60349834853"
"96","0.1","red","radius","0.01","exp utility","10","3","25","24","190393.7288761965"
"95","0.1","red","radius","0.01","exp utility","10","3","25","24","183395.2686281897"
"108","0.1","red","radius","0.01","exp utility","10","3","25","24","166869.79402633122"
"107","0.1","red","radius","0.01","exp utility","10","3","25","24","165452.56916391273"
"101","0.1","red","radius","0.01","exp utility","10","3","25","24","114016.57421089127"
"111","0.1","red","radius","0.01","exp utility","10","3","25","24","129365.48008513378"
"105","0.1","red","radius","0.01","exp utility","10","3","25","24","154839.3415259502"
"93","0.1","red","radius","0.01","exp utility","10","3","25","24","141782.9028038338"
"109","0.1","red","radius","0.01","exp utility","10","3","25","24","183430.93664950843"
"113","0.1","red","radius","0.01","exp utility","10","3","25","24","172581.50896818654"
"106","0.1","red","radius","0.01","exp utility","10","3","25","24","203024.24807425684"
"114","0.1","red","radius","0.01","exp utility","10","3","25","24","181738.75336463732"
"112","0.1","red","radius","0.01","exp utility","10","3","25","24","180873.2399423987"
"110","0.1","red","radius","0.01","exp utility","10","3","25","24","163447.3841027198"
"97","0.1","red","radius","0.01","exp utility","10","3","25","24","160983.395783839"
"99","0.1","red","radius","0.01","exp utility","10","3","25","24","173311.53038337894"
"117","0.1","red","radius","0.01","exp utility","10","3","25","24","194733.63537047524"
