"BehaviorSpace results (NetLogo 6.0.2)"
"butterfly_class_7.nlogo"
"optimize-mating"
"01/30/2018 02:13:59:262 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","initialization","q","real-terrain","[step]","corridor-width","cluster-size","mean-elevation"
"91","""edge""","0","true","999","50.014695239484176","1.32","530.5039999999999"
"92","""edge""","0","true","999","34.05222999261614","1.48","514.88"
"93","""edge""","0","true","999","37.29604832720036","1.72","521.088"
"95","""edge""","0","true","999","30.368567119721924","1.56","532.758"
"94","""edge""","0","true","999","36.03704804629673","1.6","525.56"
"97","""edge""","0","true","999","37.2318232054549","1.84","530.0799999999998"
"98","""edge""","0","true","999","30.921673428664402","1.72","490.726"
"96","""edge""","0","true","999","27.529007591589476","2.36","490.25399999999996"
"99","""edge""","0","true","999","37.636408951693504","1.88","524.8539999999998"
"102","""edge""","0.05","true","999","47.164857255200616","1.8","540.7199999999999"
"100","""edge""","0","true","999","31.821229073337985","1.72","501.168"
"104","""edge""","0.05","true","999","43.47978943072396","1.52","555.6639999999998"
"103","""edge""","0.05","true","999","42.833200098423795","2.04","539.6479999999998"
"101","""edge""","0.05","true","999","43.51009324602211","1.48","535.9200000000002"
"106","""edge""","0.05","true","999","42.93073782766236","2.08","543.62"
"105","""edge""","0.05","true","999","44.47818765218657","2","523.1560000000002"
"107","""edge""","0.05","true","999","44.75608316933891","1.88","529.258"
"109","""edge""","0.05","true","999","39.70764420419305","1.68","524.1899999999998"
"110","""edge""","0.05","true","999","37.58662277124822","1.96","540.5280000000001"
"108","""edge""","0.05","true","999","43.76512490217873","1.84","550.3939999999998"
"111","""edge""","0.05","true","999","41.69635432585376","1.84","531.1600000000002"
"112","""edge""","0.05","true","999","41.00547237565561","2","540.462"
"113","""edge""","0.05","true","999","44.24287977695269","1.72","552.0500000000001"
"115","""edge""","0.05","true","999","45.89015427954367","1.64","539.0459999999999"
"114","""edge""","0.05","true","999","45.81298802670298","1.52","546.1399999999999"
"116","""edge""","0.05","true","999","44.48462323563552","1.4","543.182"
"117","""edge""","0.05","true","999","38.24540766643076","2.36","540.2120000000001"
"119","""edge""","0.05","true","999","44.50015959268701","1.6","537.2700000000001"
"118","""edge""","0.05","true","999","42.28967481539839","1.72","532.4220000000003"
"125","""edge""","0.05","true","999","44.441322504808596","1.56","541.646"
"124","""edge""","0.05","true","999","47.797904763868395","1.6","545.392"
"122","""edge""","0.05","true","999","47.96159956106871","1.68","531.7680000000001"
"120","""edge""","0.05","true","999","42.386850761013335","1.6","536.5440000000001"
"123","""edge""","0.05","true","999","39.08231706355051","1.72","543.808"
"126","""edge""","0.05","true","999","40.72150177133478","1.76","532.6779999999998"
"121","""edge""","0.05","true","999","38.42433930308121","1.48","530.5980000000001"
"127","""edge""","0.05","true","999","33.0897703078301","1.76","533.7600000000001"
"128","""edge""","0.05","true","999","41.108448184115524","1.8","531.9340000000001"
"129","""edge""","0.05","true","999","39.04205611611961","1.84","552.3799999999999"
"130","""edge""","0.05","true","999","37.373405908148484","1.84","552.764"
"131","""edge""","0.05","true","999","41.00799270021073","1.84","542.0960000000001"
"132","""edge""","0.05","true","999","43.223901616638344","1.76","538.4780000000001"
"133","""edge""","0.05","true","999","41.1280976755495","1.44","526.592"
"134","""edge""","0.05","true","999","39.346998570250165","1.96","558.7280000000001"
"135","""edge""","0.05","true","999","43.2452647860457","1.88","535.28"
"136","""edge""","0.05","true","999","38.081346627264715","1.76","546.826"
"137","""edge""","0.05","true","999","46.25882962723929","1.52","529.314"
"138","""edge""","0.05","true","999","41.807375579865536","1.96","532.562"
"143","""edge""","0.05","true","999","41.77930330323547","1.6","543.124"
"140","""edge""","0.05","true","999","41.68257504508314","1.92","533.13"
"139","""edge""","0.05","true","999","40.85475476487968","1.88","532.6819999999999"
"144","""edge""","0.05","true","999","45.34766408144645","1.44","542.058"
"141","""edge""","0.05","true","999","45.74300387480713","1.64","553.682"
"142","""edge""","0.05","true","999","44.85402371056746","1.64","552.7079999999999"
"145","""edge""","0.05","true","999","46.60605424682373","1.84","533.442"
"146","""edge""","0.05","true","999","40.67670631111169","1.52","530.3999999999999"
"148","""edge""","0.05","true","999","38.98696019563261","2.2","551.56"
"147","""edge""","0.05","true","999","48.10036441500646","1.64","555.9559999999999"
"149","""edge""","0.05","true","999","44.36028829061703","1.56","547.14"
"150","""edge""","0.05","true","999","47.60354474652565","1.84","559.6519999999999"
"151","""edge""","0.05","true","999","42.671341442169876","1.52","534.7740000000001"
"152","""edge""","0.05","true","999","39.372720667468464","1.52","551.1519999999999"
"153","""edge""","0.05","true","999","44.89305605999572","1.6","536.578"
"154","""edge""","0.05","true","999","42.94197805281217","1.72","530.3419999999999"
"155","""edge""","0.05","true","999","42.148282326833964","1.72","537.804"
"156","""edge""","0.05","true","999","38.00210810548755","1.72","535.2459999999999"
"158","""edge""","0.05","true","999","46.47125340913471","2.16","530.9040000000001"
"157","""edge""","0.05","true","999","41.5912730051232","1.6","548.6259999999999"
"161","""edge""","0.05","true","999","48.57769747644906","1.68","543.494"
"160","""edge""","0.05","true","999","38.851005117321925","1.84","551.5179999999999"
"159","""edge""","0.05","true","999","41.04566572675749","2","552.76"
"163","""edge""","0.05","true","999","44.37197509467851","1.36","534.2560000000001"
"162","""edge""","0.05","true","999","38.83788754125633","2.2","540.8880000000001"
"164","""edge""","0.05","true","999","40.094087412062784","1.48","542.0859999999998"
"165","""edge""","0.05","true","999","45.76794702783783","1.44","535.982"
"167","""edge""","0.05","true","999","37.387152744537424","2.2","552.6239999999999"
"166","""edge""","0.05","true","999","44.91495358446131","1.56","538.9359999999997"
"169","""edge""","0.05","true","999","38.325517930110024","1.68","547.8340000000002"
"168","""edge""","0.05","true","999","44.898181352423755","1.68","549.876"
"171","""edge""","0.05","true","999","43.44693903982699","1.88","545.3039999999999"
"170","""edge""","0.05","true","999","41.80066235641427","1.6","541.3339999999998"
"172","""edge""","0.05","true","999","45.4005684345172","1.92","549.428"
"173","""edge""","0.05","true","999","41.09754323573409","1.68","544.648"
"174","""edge""","0.05","true","999","41.099408769223864","1.76","539.058"
"175","""edge""","0.05","true","999","40.893697673586985","1.88","535.9359999999998"
"176","""edge""","0.05","true","999","42.281781681348136","1.52","554.516"
"177","""edge""","0.05","true","999","40.64069645287672","1.84","558.202"
"178","""edge""","0.05","true","999","40.207988603462475","1.72","538.4060000000001"
"180","""edge""","0.05","true","999","44.824073420983076","1.72","553.83"
"179","""edge""","0.05","true","999","41.64045074560378","1.52","524.3699999999999"
"181","""edge""","0.05","true","999","42.29238833403564","1.36","530.7139999999998"
"183","""edge""","0.05","true","999","41.036629971175515","1.52","541.538"
"182","""edge""","0.05","true","999","44.98662094331676","1.64","556.966"
"184","""edge""","0.05","true","999","45.788640951753585","1.48","529.448"
"185","""edge""","0.05","true","999","39.23099096569276","1.68","562.794"
"186","""edge""","0.05","true","999","40.94957161631793","1.72","541.924"
"188","""edge""","0.05","true","999","39.48180910027661","1.4","539.5540000000002"
"187","""edge""","0.05","true","999","41.26637396093815","2.12","550.7379999999999"
"192","""edge""","0.05","true","999","41.85887333603299","1.64","543.3800000000001"
"189","""edge""","0.05","true","999","43.50782841279824","1.56","544.0479999999998"
"190","""edge""","0.05","true","999","45.77832725282252","1.84","560.876"
"191","""edge""","0.05","true","999","46.994915188673176","1.8","538.332"
"193","""edge""","0.05","true","999","34.85826817484681","1.68","527.4259999999999"
"194","""edge""","0.05","true","999","47.843395689976724","1.56","531.9700000000001"
"195","""edge""","0.05","true","999","41.376049891610116","1.68","538.252"
"196","""edge""","0.05","true","999","40.28287619099324","1.76","553.6020000000001"
"197","""edge""","0.05","true","999","40.5989398491065","1.84","551.9220000000001"
"199","""edge""","0.05","true","999","42.48918707801122","1.76","557.5580000000002"
"198","""edge""","0.05","true","999","45.31769618605327","1.4","544.9360000000001"
"200","""edge""","0.05","true","999","42.269260524086675","1.64","542.028"
"201","""edge""","0.1","true","999","37.4928015529724","2.8","580.05"
"202","""edge""","0.1","true","999","42.628195359214246","2.12","584.3499999999998"
"204","""edge""","0.1","true","999","41.278555623354016","1.6","567.706"
"205","""edge""","0.1","true","999","41.623671496924665","1.68","568.6419999999999"
"203","""edge""","0.1","true","999","41.396106264425335","1.64","568.276"
"206","""edge""","0.1","true","999","50.04774448022583","1.96","588.5640000000002"
"209","""edge""","0.1","true","999","42.98299902243088","2.8","580.3360000000002"
"207","""edge""","0.1","true","999","42.484594313404614","2.16","575.494"
"210","""edge""","0.1","true","999","43.76537565618412","1.92","572.894"
"208","""edge""","0.1","true","999","38.627068040251075","1.64","574.604"
"212","""edge""","0.1","true","999","41.6454057967747","1.92","570.956"
"211","""edge""","0.1","true","999","42.197458968457475","2.44","574.312"
"214","""edge""","0.1","true","999","46.69266406283609","2.52","581.7239999999998"
"213","""edge""","0.1","true","999","45.2754747269857","2.04","559.9920000000001"
"215","""edge""","0.1","true","999","44.23399473595512","1.88","570.7780000000001"
"217","""edge""","0.1","true","999","43.42450746320719","1.84","572.5179999999999"
"216","""edge""","0.1","true","999","36.29344361531409","2.68","580.278"
"218","""edge""","0.1","true","999","42.06013959493272","1.76","568.146"
"219","""edge""","0.1","true","999","45.30007375029175","1.68","576.0340000000001"
"220","""edge""","0.1","true","999","42.73231666133219","1.84","580.6340000000001"
"221","""edge""","0.1","true","999","45.308056476675965","2.32","585.3979999999999"
"222","""edge""","0.1","true","999","37.98169199992135","2.12","577.636"
"223","""edge""","0.1","true","999","43.64589764815437","1.48","560.6539999999999"
"225","""edge""","0.1","true","999","38.71976963745151","2.44","580.8379999999999"
"224","""edge""","0.1","true","999","44.62884982522562","2.44","582.6580000000001"
"226","""edge""","0.1","true","999","41.90960163984953","2","577.178"
"227","""edge""","0.1","true","999","42.38590939916076","1.32","565.4159999999999"
"228","""edge""","0.1","true","999","46.09517219166196","2.12","591.5459999999999"
"229","""edge""","0.1","true","999","48.12660926563124","1.96","568.54"
"232","""edge""","0.1","true","999","33.436796627945824","2.12","574.4659999999999"
"231","""edge""","0.1","true","999","39.639244938830565","2.28","574.4860000000001"
"230","""edge""","0.1","true","999","50.061064140700296","2.16","589.602"
"233","""edge""","0.1","true","999","43.157526868645384","1.52","557.2360000000001"
"234","""edge""","0.1","true","999","39.720636716434065","2.32","581.09"
"235","""edge""","0.1","true","999","48.15634480711359","3","580.434"
"236","""edge""","0.1","true","999","42.01008216008792","1.76","554.906"
"237","""edge""","0.1","true","999","35.47035638304609","2.12","571.74"
"239","""edge""","0.1","true","999","40.552741472410595","2.52","586.0720000000001"
"238","""edge""","0.1","true","999","40.58221166789124","1.84","573.102"
"241","""edge""","0.1","true","999","46.579475396789896","2.2","577.7639999999999"
"240","""edge""","0.1","true","999","48.59705195855145","1.76","572.9440000000001"
"242","""edge""","0.1","true","999","44.70908073569248","2.68","582.98"
"244","""edge""","0.1","true","999","47.80160722592509","1.36","556.8339999999998"
"243","""edge""","0.1","true","999","37.28297723314637","2","569.758"
"245","""edge""","0.1","true","999","48.0455855319594","1.92","586.1039999999998"
"246","""edge""","0.1","true","999","41.83374057122785","2.44","589.19"
"247","""edge""","0.1","true","999","44.23463667138924","2.2","591.574"
"248","""edge""","0.1","true","999","45.379089135054905","1.64","569.498"
"249","""edge""","0.1","true","999","44.743903003475104","2.56","596.434"
"250","""edge""","0.1","true","999","36.83769593408491","2.28","562.752"
"251","""edge""","0.1","true","999","45.02878499829637","1.76","562.91"
"253","""edge""","0.1","true","999","45.04081160943716","1.76","578.3860000000001"
"252","""edge""","0.1","true","999","47.092648383422734","2.2","578.9259999999999"
"254","""edge""","0.1","true","999","43.26114641541399","2.2","577.678"
"256","""edge""","0.1","true","999","41.1593836885091","2.08","579.7219999999999"
"255","""edge""","0.1","true","999","36.299788347433775","3.08","588.636"
"257","""edge""","0.1","true","999","42.88494017184791","2.12","564.484"
"259","""edge""","0.1","true","999","49.94045907391281","1.64","572.5780000000001"
"258","""edge""","0.1","true","999","39.05348426284325","1.8","573.5819999999999"
"260","""edge""","0.1","true","999","36.56873331111613","2","576.2919999999999"
"261","""edge""","0.1","true","999","48.067602506020734","2.48","587.4019999999999"
"264","""edge""","0.1","true","999","44.094304521218824","2.4","589.556"
"263","""edge""","0.1","true","999","40.40083058615808","2.16","580.5220000000002"
"262","""edge""","0.1","true","999","45.78451857285378","1.6","577.6020000000001"
"265","""edge""","0.1","true","999","36.19715010137213","2.44","575.1639999999999"
"266","""edge""","0.1","true","999","43.875705730646644","2.44","590.2959999999999"
"267","""edge""","0.1","true","999","44.06671563597038","2.2","586.3980000000001"
"268","""edge""","0.1","true","999","43.11817715568928","1.92","566.046"
"270","""edge""","0.1","true","999","36.62600831945658","2.52","578.3299999999999"
"269","""edge""","0.1","true","999","47.591476091774794","2.84","584.62"
"271","""edge""","0.1","true","999","46.08750575721773","2.68","584.208"
"272","""edge""","0.1","true","999","38.42224102681902","2.6","586.6080000000001"
"273","""edge""","0.1","true","999","40.7221126895064","2.32","581.528"
"275","""edge""","0.1","true","999","45.82157654303634","2.08","576.2980000000002"
"274","""edge""","0.1","true","999","43.94183404960323","1.88","561.9580000000002"
"276","""edge""","0.1","true","999","38.32225186926403","2.52","558.41"
"277","""edge""","0.1","true","999","44.07955302731019","1.96","570.6819999999999"
"278","""edge""","0.1","true","999","47.95808894823997","2.2","569.2360000000001"
"280","""edge""","0.1","true","999","52.79776987315225","2.12","581.3419999999999"
"279","""edge""","0.1","true","999","42.42020823772679","3.08","584.8720000000001"
"281","""edge""","0.1","true","999","40.06965273501201","1.88","576.8940000000001"
"282","""edge""","0.1","true","999","35.21903220414595","2.44","581.8360000000002"
"283","""edge""","0.1","true","999","41.53570696583976","2.48","573.9939999999999"
"285","""edge""","0.1","true","999","46.45408272845823","2.16","585.8919999999999"
"284","""edge""","0.1","true","999","41.09880461101911","2.28","580.634"
"286","""edge""","0.1","true","999","48.43580181917279","1.96","568.056"
"287","""edge""","0.1","true","999","45.14447876011111","1.64","577.5399999999998"
"288","""edge""","0.1","true","999","48.20383957639527","1.76","581.3639999999999"
"292","""edge""","0.1","true","999","42.80714502120425","1.92","574.416"
"290","""edge""","0.1","true","999","35.20565020342419","2.28","576.0919999999999"
"289","""edge""","0.1","true","999","39.95815999620449","2.28","584.724"
"291","""edge""","0.1","true","999","51.68979397284585","1.6","575.7740000000003"
"293","""edge""","0.1","true","999","44.5340519338363","2.36","580.9719999999999"
"294","""edge""","0.1","true","999","43.22727717350349","1.84","569.6899999999999"
"295","""edge""","0.1","true","999","38.113495809570296","1.92","570.5179999999999"
"296","""edge""","0.1","true","999","42.08093872962452","2","561.0419999999999"
"297","""edge""","0.1","true","999","42.77910449395997","2.28","578.2319999999999"
"299","""edge""","0.1","true","999","37.257993641538846","2.92","564.3840000000001"
"300","""edge""","0.1","true","999","41.068308769574294","2.4","576.4780000000001"
"298","""edge""","0.1","true","999","44.60717669469694","2","559.076"
"301","""edge""","0.15","true","999","44.932225560829146","1.84","589.92"
"302","""edge""","0.15","true","999","37.54897971105605","3.04","602.384"
"303","""edge""","0.15","true","999","39.20720624882677","2.92","596.4940000000001"
"305","""edge""","0.15","true","999","48.766779361673215","3.52","599.776"
"304","""edge""","0.15","true","999","43.90582639845192","2.2","593.3639999999999"
"306","""edge""","0.15","true","999","34.8178185262678","3.44","602.1820000000001"
"307","""edge""","0.15","true","999","37.188418579932005","3.08","601.4839999999999"
"308","""edge""","0.15","true","999","41.9866683224848","2.72","593.2759999999998"
"309","""edge""","0.15","true","999","35.89985218989122","3.4","600.016"
"312","""edge""","0.15","true","999","40.959852950209225","3.04","598.7059999999999"
"311","""edge""","0.15","true","999","40.13328026953034","3.12","598.02"
"310","""edge""","0.15","true","999","38.4149165481346","3.68","597.8860000000001"
"314","""edge""","0.15","true","999","37.83220040482819","2.52","592.092"
"315","""edge""","0.15","true","999","35.90304592728846","4.16","596.382"
"313","""edge""","0.15","true","999","39.645759409418176","2.6","598.1160000000001"
"316","""edge""","0.15","true","999","40.031058166509396","3.52","598.8319999999999"
"317","""edge""","0.15","true","999","43.56979554116066","2.68","597.5079999999999"
"318","""edge""","0.15","true","999","39.47641633757566","2.68","597.502"
"320","""edge""","0.15","true","999","39.67671456818865","3.16","599.596"
"319","""edge""","0.15","true","999","40.631568406797285","2.88","595.75"
"322","""edge""","0.15","true","999","38.39137927203976","3.32","587.88"
"321","""edge""","0.15","true","999","44.08899229797344","2.2","594.8720000000001"
"323","""edge""","0.15","true","999","38.65878049259598","3.28","595.7719999999999"
"325","""edge""","0.15","true","999","34.60337888606417","3.6","601.1819999999998"
"324","""edge""","0.15","true","999","37.70299949140477","2.76","603.5140000000001"
"326","""edge""","0.15","true","999","46.21803266028889","3.28","607.2279999999998"
