"BehaviorSpace results (NetLogo 6.0.2)"
"butterfly_class_7.nlogo"
"optimize-mating-big"
"01/30/2018 02:52:39:900 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","initialization","q","real-terrain","[step]","corridor-width","cluster-size","mean-elevation"
"90","""edge""","0","true","999","37.90208435139143","1.6","517.4359999999999"
"92","""edge""","0","true","999","32.01747126558112","1.8","508.71599999999984"
"93","""edge""","0","true","999","33.93054386353249","1.72","517.5500000000001"
"94","""edge""","0","true","999","35.08611076768979","1.8","513.284"
"96","""edge""","0","true","999","32.367801506913665","1.48","505.6780000000001"
"98","""edge""","0","true","999","31.255365928607333","1.96","500.7819999999999"
"95","""edge""","0","true","999","31.606534321097485","1.72","515.6579999999998"
"100","""edge""","0","true","999","40.19212544122729","1.64","513.65"
"99","""edge""","0","true","999","32.885445726439556","1.72","506.64600000000013"
"101","""edge""","0.05","true","999","39.348584242047686","2.16","528.2779999999999"
"97","""edge""","0","true","999","30.453471769323638","1.96","523.322"
"103","""edge""","0.05","true","999","47.017296237367134","1.76","535.076"
"102","""edge""","0.05","true","999","37.926780689570826","1.6","542.8900000000001"
"107","""edge""","0.05","true","999","37.991029850184965","1.72","549.0219999999999"
"106","""edge""","0.05","true","999","48.07262188099407","1.48","552.964"
"105","""edge""","0.05","true","999","40.099407489909794","2.16","533.4580000000001"
"104","""edge""","0.05","true","999","44.43513368752909","1.84","542.988"
"109","""edge""","0.05","true","999","40.67375847259699","1.76","529.7900000000001"
"108","""edge""","0.05","true","999","38.653975772311725","1.48","528.814"
"111","""edge""","0.05","true","999","47.08608442824525","1.76","553.858"
"110","""edge""","0.05","true","999","41.4959047489987","1.56","552.3980000000001"
"112","""edge""","0.05","true","999","43.649198920200725","1.64","544.46"
"113","""edge""","0.05","true","999","44.98710552152297","1.76","541.116"
"114","""edge""","0.05","true","999","35.118709008135596","2.08","542.9959999999999"
"115","""edge""","0.05","true","999","39.88024163051398","1.52","535.4459999999999"
"116","""edge""","0.05","true","999","42.86096602962485","1.72","550.556"
"117","""edge""","0.05","true","999","37.7943650152657","1.6","542.788"
"120","""edge""","0.05","true","999","39.134698162834866","2.32","553.982"
"119","""edge""","0.05","true","999","46.019273695576636","1.96","545.68"
"118","""edge""","0.05","true","999","45.28127860882476","1.52","547.9300000000002"
"122","""edge""","0.05","true","999","45.24230446036506","1.6","542.744"
"121","""edge""","0.05","true","999","39.368434631572214","1.88","538.4000000000001"
"123","""edge""","0.05","true","999","42.54884822780564","1.68","549.184"
"127","""edge""","0.05","true","999","50.661313326211356","1.52","552.1819999999998"
"125","""edge""","0.05","true","999","39.22099178603496","2.04","543.822"
"124","""edge""","0.05","true","999","43.095007541053825","1.56","539.836"
"126","""edge""","0.05","true","999","44.95599695282648","1.72","531.988"
"128","""edge""","0.05","true","999","47.055333649304714","1.52","538.174"
"129","""edge""","0.05","true","999","38.72584047312381","1.44","543.474"
"130","""edge""","0.05","true","999","42.7559020150162","1.64","530.778"
"131","""edge""","0.05","true","999","39.03877092497174","1.84","523.694"
"132","""edge""","0.05","true","999","42.393767512682565","1.88","530.6419999999999"
"133","""edge""","0.05","true","999","38.322828136648816","1.88","530.314"
"134","""edge""","0.05","true","999","42.35123397039255","1.6","543.1980000000001"
