"BehaviorSpace results (NetLogo 5.3.1)"
"telemarketer_class_14.nlogo"
"vary_initial_telemarketers"
"02/23/2017 01:21:55:623 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","growth-param","initial-num-marketers","[step]","count turtles"
"8","1000","50","12","50"
"13","1000","50","11","50"
"12","1000","50","12","50"
"4","1000","50","12","50"
"17","1000","50","12","50"
"9","1000","50","11","50"
"18","1000","50","12","50"
"10","1000","50","12","50"
"16","1000","50","12","50"
"20","1000","50","12","50"
"19","1000","50","14","50"
"11","1000","50","12","50"
"14","1000","50","11","50"
"6","1000","50","11","50"
"15","1000","50","11","50"
"2","1000","50","12","50"
"8","1000","50","13","50"
"7","1000","50","14","50"
"3","1000","50","11","50"
"9","1000","50","12","50"
"4","1000","50","13","50"
"18","1000","50","13","50"
"13","1000","50","12","50"
"19","1000","50","15","50"
"17","1000","50","13","50"
"5","1000","50","13","50"
"15","1000","50","12","50"
"16","1000","50","13","50"
"10","1000","50","13","50"
"11","1000","50","13","50"
"20","1000","50","13","50"
"12","1000","50","13","50"
"2","1000","50","13","50"
"1","1000","50","7","50"
"3","1000","50","12","50"
"8","1000","50","14","50"
"7","1000","50","15","50"
"13","1000","50","13","50"
"15","1000","50","13","50"
"4","1000","50","14","50"
"18","1000","50","14","50"
"9","1000","50","13","50"
"6","1000","50","12","50"
"5","1000","50","14","50"
"19","1000","50","16","50"
"17","1000","50","14","50"
"16","1000","50","14","50"
"10","1000","50","14","50"
"12","1000","50","14","50"
"2","1000","50","14","50"
"20","1000","50","14","50"
"11","1000","50","14","50"
"3","1000","50","13","50"
"8","1000","50","15","50"
"13","1000","50","14","50"
"14","1000","50","12","50"
"15","1000","50","14","50"
"4","1000","50","15","50"
"10","1000","50","15","50"
"7","1000","50","16","50"
"6","1000","50","13","50"
"9","1000","50","14","50"
"18","1000","50","15","50"
"3","1000","50","14","50"
"5","1000","50","15","50"
"16","1000","50","15","50"
"11","1000","50","15","50"
"1","1000","50","8","50"
"19","1000","50","17","50"
"13","1000","50","15","50"
"2","1000","50","15","50"
"20","1000","50","15","50"
"17","1000","50","15","50"
"8","1000","50","16","50"
"12","1000","50","15","50"
"14","1000","50","13","50"
"4","1000","50","16","50"
"3","1000","50","15","50"
"6","1000","50","14","50"
"10","1000","50","16","50"
"9","1000","50","15","50"
"18","1000","50","16","50"
"7","1000","50","17","50"
"15","1000","50","15","50"
"5","1000","50","16","50"
"13","1000","50","16","50"
"20","1000","50","16","50"
"19","1000","50","18","50"
"12","1000","50","16","50"
"16","1000","50","16","50"
"8","1000","50","17","50"
"1","1000","50","9","50"
"2","1000","50","16","50"
"17","1000","50","16","50"
"14","1000","50","14","50"
"11","1000","50","16","50"
"3","1000","50","16","50"
"6","1000","50","15","50"
"4","1000","50","17","50"
"10","1000","50","17","50"
"9","1000","50","16","50"
"8","1000","50","18","50"
"12","1000","50","17","50"
"13","1000","50","17","50"
"19","1000","50","19","50"
"7","1000","50","18","50"
"15","1000","50","16","50"
"5","1000","50","17","50"
"18","1000","50","17","50"
"20","1000","50","17","50"
"16","1000","50","17","50"
"3","1000","50","17","50"
"14","1000","50","15","50"
"2","1000","50","17","50"
"11","1000","50","17","50"
"6","1000","50","16","50"
"17","1000","50","17","50"
"1","1000","50","10","50"
"4","1000","50","18","50"
"10","1000","50","18","50"
"12","1000","50","18","50"
"15","1000","50","17","50"
"9","1000","50","17","50"
"13","1000","50","18","50"
"8","1000","50","19","50"
"16","1000","50","18","50"
"7","1000","50","19","50"
"5","1000","50","18","50"
"19","1000","50","20","50"
"20","1000","50","18","50"
"18","1000","50","18","50"
"2","1000","50","18","50"
"3","1000","50","18","50"
"14","1000","50","16","50"
"4","1000","50","19","50"
"10","1000","50","19","50"
"11","1000","50","18","50"
"12","1000","50","19","50"
"17","1000","50","18","50"
"15","1000","50","18","50"
"13","1000","50","19","50"
"9","1000","50","18","50"
"5","1000","50","19","50"
"8","1000","50","20","50"
"6","1000","50","17","50"
"16","1000","50","19","50"
"7","1000","50","20","50"
"3","1000","50","19","50"
"2","1000","50","19","50"
"1","1000","50","11","50"
"20","1000","50","19","50"
"18","1000","50","19","50"
"4","1000","50","20","50"
"19","1000","50","21","50"
"10","1000","50","20","50"
"13","1000","50","20","50"
"14","1000","50","17","50"
"11","1000","50","19","50"
"15","1000","50","19","50"
