"BehaviorSpace results (NetLogo 5.3.1)"
"telemarketer_mergers_class_14.nlogo"
"vary_initial_telemarketers"
"02/23/2017 01:22:28:800 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"8","50","1000","13","50"
"7","50","1000","14","50"
"12","50","1000","8","50"
"16","50","1000","6","50"
"6","50","1000","9","50"
"20","50","1000","10","50"
"11","50","1000","9","50"
"17","50","1000","7","50"
"4","50","1000","13","50"
"19","50","1000","16","50"
"15","50","1000","14","50"
"1","50","1000","8","50"
"14","50","1000","15","50"
"5","50","1000","15","50"
"12","50","1000","9","50"
"16","50","1000","7","50"
"9","50","1000","14","50"
"18","50","1000","14","50"
"8","50","1000","14","50"
"7","50","1000","15","50"
"20","50","1000","11","50"
"13","50","1000","12","50"
"11","50","1000","10","50"
"4","50","1000","14","50"
"17","50","1000","8","50"
"15","50","1000","15","50"
"12","50","1000","10","50"
"19","50","1000","17","50"
"10","50","1000","12","50"
"14","50","1000","16","50"
"16","50","1000","8","50"
"5","50","1000","16","50"
"20","50","1000","12","50"
"13","50","1000","13","50"
"3","50","1000","12","50"
"9","50","1000","15","50"
"18","50","1000","15","50"
"8","50","1000","15","50"
"17","50","1000","9","50"
"7","50","1000","16","50"
"1","50","1000","9","50"
"12","50","1000","11","50"
"4","50","1000","15","50"
"2","50","1000","13","50"
"10","50","1000","13","50"
"16","50","1000","9","50"
"20","50","1000","13","50"
"14","50","1000","17","50"
"15","50","1000","16","50"
"11","50","1000","11","50"
"19","50","1000","18","50"
"13","50","1000","14","50"
"6","50","1000","10","50"
"3","50","1000","13","50"
"17","50","1000","10","50"
"9","50","1000","16","50"
"18","50","1000","16","50"
"2","50","1000","14","50"
"12","50","1000","12","50"
"7","50","1000","17","50"
"20","50","1000","14","50"
"10","50","1000","14","50"
"5","50","1000","17","50"
"16","50","1000","10","50"
"11","50","1000","12","50"
"3","50","1000","14","50"
"4","50","1000","16","50"
"15","50","1000","17","50"
"13","50","1000","15","50"
"14","50","1000","18","50"
"19","50","1000","19","50"
"12","50","1000","13","50"
"1","50","1000","10","50"
"2","50","1000","15","50"
"9","50","1000","17","50"
"20","50","1000","15","50"
"8","50","1000","16","50"
"5","50","1000","18","50"
"17","50","1000","11","50"
"11","50","1000","13","50"
"14","50","1000","19","50"
"7","50","1000","18","50"
"18","50","1000","17","50"
"13","50","1000","16","50"
"10","50","1000","15","50"
"2","50","1000","16","50"
"12","50","1000","14","50"
"4","50","1000","17","50"
"15","50","1000","18","50"
"5","50","1000","19","50"
"3","50","1000","15","50"
"16","50","1000","11","50"
