"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"42","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","130915.29600355301","0.91","7554.488904175691","0.03401463533696302"
"41","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","122430.42364150101","1.15","7791.932014597068","0.03452292376500539"
"45","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","129988.95221116919","0.95","7494.319479987157","0.03307228330351209"
"53","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","140413.38562429082","0.88","7195.37033173721","0.032533787133335886"
"54","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","113454.84122372919","1.17","7464.370811143761","0.03895040757249003"
"51","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","137695.82658897887","0.9","8005.206713966916","0.031581151606756584"
"55","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","122844.20962431395","1.07","7355.139422784131","0.0339235086069256"
"49","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","124989.60719283677","0.99","7169.403013034959","0.03707575812599794"
"57","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","142728.67682571046","0.79","7060.266719370982","0.032077139453130135"
"48","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","138180.1200419096","0.7","7397.914121079558","0.032350379203667116"
"59","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","126826.81144867215","0.95","7288.536488434774","0.034983464744207965"
"60","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","130479.82975696106","0.81","7307.28387974637","0.032133513027238124"
"61","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","146313.66776935465","0.85","7461.482206995308","0.03004663155254701"
"62","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","124345.43922229363","1.04","7830.120198800356","0.034852311386727265"
"44","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","122158.64179368103","1.07","7614.337586556486","0.036975880755605865"
"50","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","138286.5530810713","0.92","7613.848308189531","0.03386791299416654"
"63","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","132141.69944216558","0.82","7413.23697123855","0.029881056334090376"
"52","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","124363.6022535929","0.92","7437.52480374295","0.03464081297536929"
"43","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","126165.14039738853","1.05","7515.682119306134","0.03483527533124637"
"58","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","126020.17618375416","1.07","7488.762909103248","0.033669207072275664"
"47","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","131232.589159016","1.04","7240.395368029701","0.03609696920084464"
"64","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","143554.72868404168","0.8","7593.476803539779","0.033555010688767366"
"46","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","122611.38644067054","0.94","7586.809180382644","0.035103567845891234"
"66","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","124370.34887776038","1.02","7356.8770218549","0.03552201936242712"
"68","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","118396.38897213504","0.99","6951.521817093396","0.033102002648603836"
"71","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","133227.43377016057","0.84","7602.3395727029265","0.03320009464227111"
"65","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","118610.84696245188","1.01","7149.557643797777","0.034356476489947545"
"70","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","136934.6912769691","0.78","7264.557586298807","0.03240282181440017"
