"BehaviorSpace results (NetLogo 6.2.0)"
"butterfly_class_06b.nlogo"
"terrrain-experiment"
"09/14/2021 10:33:07:405 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","real-terrain","concentrate-turtles","[step]","corridor-width","mean [elevation] of turtles"
"17","0","false","true","999","434.9748575122857","162.50150883118727"
"7","0","false","true","999","440.37197998636526","166.8097846050123"
"13","0","false","true","999","455.7859149663315","160.9406268110302"
"3","0","false","true","999","447.7614024833117","163.77815139038773"
"5","0","false","true","999","445.7138319422955","155.97963886283793"
"16","0","false","true","999","449.8278300795693","162.18935076988356"
"2","0","false","true","999","433.27866335965786","161.6968006090022"
"10","0","false","true","999","433.040632972213","154.58317878723182"
"12","0","false","true","999","455.37095750591993","159.04397824741437"
"11","0","false","true","999","433.23121665983217","160.60299620142874"
"6","0","false","true","999","427.13395485818376","163.7735975220343"
"8","0","false","true","999","439.7287553527308","163.63795486345987"
"1","0","false","true","999","421.7645037634544","169.12105941111918"
"20","0","false","true","999","437.3017441379403","169.89820511211312"
"18","0","false","true","999","421.05648834894936","158.6031794945982"
"19","0","false","true","999","449.7417217490249","156.6747215511345"
"4","0","false","true","999","450.80056307241","162.8506072135869"
"15","0","false","true","999","458.5263015736037","156.74942459827477"
"14","0","false","true","999","441.5678725965648","165.77946204581522"
"9","0","false","true","999","437.59816280607816","161.7448008913911"
"22","0","true","true","999","304.9987507051698","492.20799999999997"
"21","0","true","true","999","294.41332593803395","490.2841999999999"
"25","0","true","true","999","290.7101434467848","492.2559999999999"
"24","0","true","true","999","293.2573798870198","492.05560000000014"
"23","0","true","true","999","298.8629554085468","491.10839999999996"
"31","0","true","true","999","299.74685358806965","492.16319999999996"
"26","0","true","true","999","265.11725521468264","491.2482"
"30","0","true","true","999","281.28349976973914","491.15980000000025"
"29","0","true","true","999","278.57105569887847","491.6208000000002"
"27","0","true","true","999","307.6531982076524","491.00119999999947"
"32","0","true","true","999","288.62598085489435","490.5768000000006"
"28","0","true","true","999","283.4072394436532","490.8202000000001"
"34","0","true","true","999","306.41993303535577","492.0412000000003"
"35","0","true","true","999","303.12029855022513","490.5652000000004"
"36","0","true","true","999","309.0492254100912","491.0751999999996"
"38","0","true","true","999","272.74086666871443","491.4416000000003"
"33","0","true","true","999","299.36425679146294","492.5412000000002"
"37","0","true","true","999","320.3241439476316","491.33220000000046"
"40","0","true","true","999","312.4470010931128","492.1762000000002"
"39","0","true","true","999","291.5255260870439","491.78340000000026"
"41","0.2","false","true","999","153.75461152058338","396.8171545809019"
"43","0.2","false","true","999","157.27046418525902","397.03236052860314"
"42","0.2","false","true","999","161.0151798116181","396.1952728929186"
"44","0.2","false","true","999","154.51933453525817","397.08454539113484"
"46","0.2","false","true","999","153.56965729060457","396.9549722756558"
"45","0.2","false","true","999","152.98232850681376","396.80222867961106"
"47","0.2","false","true","999","156.20171549815672","396.8742284459115"
"52","0.2","false","true","999","159.70326886058527","396.90260285264634"
"48","0.2","false","true","999","154.26580480685962","396.730646300144"
"51","0.2","false","true","999","158.10695438646542","396.32664405159994"
"54","0.2","false","true","999","157.8864539292633","396.580265333172"
"50","0.2","false","true","999","153.33716905673376","396.8219932737664"
"49","0.2","false","true","999","157.3635921763497","396.6019684779304"
"53","0.2","false","true","999","156.3455955224417","396.3028414554118"
"55","0.2","false","true","999","155.36534501241414","396.14663983718833"
"56","0.2","false","true","999","154.07939694300396","396.4631599566348"
"59","0.2","false","true","999","161.68169717795274","396.443309567286"
"57","0.2","false","true","999","156.57143711256907","396.5589898254951"
"60","0.2","false","true","999","153.67230478547896","396.39658073973465"
"58","0.2","false","true","999","160.72840288642925","396.9351130724176"
"61","0.2","true","true","999","132.0865574092755","599.9383999999999"
"62","0.2","true","true","999","122.37759039791173","599.6416"
"64","0.2","true","true","999","120.29753111896179","601.1424000000011"
"63","0.2","true","true","999","128.08601649989455","600.3523999999996"
"68","0.2","true","true","999","119.57756638786049","602.6072000000006"
"65","0.2","true","true","999","118.446028886507","600.887"
"66","0.2","true","true","999","128.105467020624","600.6533999999998"
"70","0.2","true","true","999","136.1894987648796","598.0622000000006"
"71","0.2","true","true","999","129.2842920265127","597.8312000000003"
"74","0.2","true","true","999","120.27812187797242","600.3987999999996"
"69","0.2","true","true","999","125.01317687616888","599.5403999999997"
"75","0.2","true","true","999","130.457905253296","601.0765999999996"
"67","0.2","true","true","999","128.07993865323306","601.2226000000002"
"72","0.2","true","true","999","125.1369540497711","601.3343999999992"
"73","0.2","true","true","999","124.50061180853889","599.6413999999999"
"76","0.2","true","true","999","122.71323231286964","600.3749999999994"
"78","0.2","true","true","999","127.4988762574709","597.3078000000002"
"77","0.2","true","true","999","120.7059763054136","599.3729999999999"
"80","0.2","true","true","999","125.20444672421212","599.9681999999995"
"79","0.2","true","true","999","128.38757434745108","601.3777999999992"
"81","0.4","false","true","999","101.35604686285939","399.258127763499"
"82","0.4","false","true","999","101.168155277484","399.17187962726206"
"83","0.4","false","true","999","98.55487442045688","399.10312474220245"
"84","0.4","false","true","999","100.26706025145661","399.2724104934698"
