"","run","profit.multiplier","risk.multiplier","vision.mode","sense.radius","failure.max","turtle.coloring.mode","failure.min","max.ticks","color.patches.by","num.investors","time.horizon","tick","wealth","failures","profit","risk"
"40",40,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,2,24,115578.169291327,1.16,7480.74153850815,0.0408310128171875
"41",41,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,122430.423641501,1.15,7791.93201459707,0.0345229237650054
"42",42,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,130915.296003553,0.91,7554.48890417569,0.034014635336963
"43",43,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,126165.140397389,1.05,7515.68211930613,0.0348352753312464
"44",44,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,122158.641793681,1.07,7614.33758655649,0.0369758807556059
"45",45,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,129988.952211169,0.95,7494.31947998716,0.0330722833035121
"46",46,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,122611.386440671,0.94,7586.80918038264,0.0351035678458912
"47",47,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,131232.589159016,1.04,7240.3953680297,0.0360969692008446
"48",48,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,138180.12004191,0.7,7397.91412107956,0.0323503792036671
"49",49,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,124989.607192837,0.99,7169.40301303496,0.0370757581259979
"50",50,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,138286.553081071,0.92,7613.84830818953,0.0338679129941665
"51",51,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,137695.826588979,0.9,8005.20671396692,0.0315811516067566
"52",52,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,124363.602253593,0.92,7437.52480374295,0.0346408129753693
"53",53,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,140413.385624291,0.88,7195.37033173721,0.0325337871333359
"54",54,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,113454.841223729,1.17,7464.37081114376,0.03895040757249
"55",55,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,122844.209624314,1.07,7355.13942278413,0.0339235086069256
